Title	ISSN	eISSN	Documentation
Bulletin of the American Meteorological Society	0003-0007	1520-0477	http://journals.ametsoc.org/loi/bams
Earth Interactions		1087-3562	http://earthinteractions.org/
Journal of Applied Meteorology and Climatology	1558-8424	1558-8432	http://journals.ametsoc.org/loi/apme
Journal of Atmospheric and Oceanic Technology	0739-0572	1520-0426	http://journals.ametsoc.org/loi/atot
Journal of Climate	0894-8755	1520-0442	http://journals.ametsoc.org/loi/clim
Journal of Hydrometeorology	1525-755X	1525-7541	http://journals.ametsoc.org/loi/hydr
Journal of Physical Oceanography	0022-3670	1520-0485	http://journals.ametsoc.org/loi/phoc
Journal of the Atmospheric Sciences	0022-4928	1520-0469	http://journals.ametsoc.org/loi/atsc
Meteorological Monographs	0065-9401		http://journals.ametsoc.org/loi/amsm
Monthly Weather Review	0027-0644	1520-0493	http://journals.ametsoc.org/loi/mwre
Weather and Forecasting	0882-8156	1520-0434	http://journals.ametsoc.org/loi/wefo
Weather, Climate, and Society	1948-8327	1948-8335	http://journals.ametsoc.org/loi/wcas
