publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name
American Journal of Orthopsychiatry	0002-9432	1939-0025	1930-10	1	1	2001-10	71	4	http://content.apa.org/journals/ort		ort				American Orthopsychiatric Association, Inc.
American Journal of Orthopsychiatry	0002-9432	1939-0025	2002-01	72	1	2009-10	79	4	http://content.apa.org/journals/ort		ort				Educational Publishing Foundation
American Journal of Orthopsychiatry	0002-9432	1939-0025	2010-01	80	1	2013-10	83	4	http://content.apa.org/journals/ort		ort				Wiley-Blackwell Publishing Ltd.
American Journal of Orthopsychiatry	0002-9432	1939-0025	2014	84	1				http://content.apa.org/journals/ort		ort				Educational Publishing Foundation
American Psychologist	0003-066X	1935-990X	1946-01	1	1				http://content.apa.org/journals/amp		amp				American Psychological Association
Archives of Scientific Psychology		2169-3269	2013-02	1	1				http://content.apa.org/journals/arc		arc				American Psychological Association
Asian American Journal of Psychology	1948-1985	1948-1993	2009-08	S	1				http://content.apa.org/journals/aap		aap				Educational Publishing Foundation
Aviation Psychology and Applied Human Factors	2192-0923	2192-0931	2011	1	1				http://content.apa.org/journals/apf		apf				Hogrefe Publishing
Behavioral Neuroscience	0735-7044	1939-0084	1983-02	97	1				http://content.apa.org/journals/bne		bne				American Psychological Association
Canadian Journal of Behavioural Science / Revue canadienne des sciences du comportement	0008-400X	1879-2669	1969	1	1	1981-10	13	4	http://content.apa.org/journals/cbs		cbs				University of Toronto Press
Canadian Journal of Behavioural Science / Revue canadienne des sciences du comportement	0008-400X	1879-2669	1982-01	14	1	2007-10	39	4	http://content.apa.org/journals/cbs		cbs				Canadian Psychological Association
Canadian Journal of Behavioural Science / Revue canadienne des sciences du comportement	0008-400X	1879-2669	2008-01	40	1				http://content.apa.org/journals/cbs		cbs				Educational Publishing Foundation
Canadian Journal of Psychology/Revue canadienne de psychologie	0008-4255		1947-03	1	1	1981-12	35	4	http://content.apa.org/journals/cep		cep				University of Toronto Press
Canadian Journal of Psychology/Revue canadienne de psychologie	0008-4255		1982-03	36	1	1992-12	46	4	http://content.apa.org/journals/cep		cep				Canadian Psychological Association
Canadian Journal of Experimental Psychology/Revue canadienne de psychologie expérimentale	1196-1961	1878-7290	1993-03	47	1	2007-12	61	4	http://content.apa.org/journals/cep		cep				Canadian Psychological Association
Canadian Journal of Experimental Psychology/Revue canadienne de psychologie expérimentale	1196-1961	1878-7290	2008-03	62	1				http://content.apa.org/journals/cep		cep				Educational Publishing Foundation
Clinical Practice in Pediatric Psychology	2169-4826	2169-4834	2013-03	1	1				http://content.apa.org/journals/cpp		cpp				Educational Publishing Foundation
Consulting Psychology Journal: Practice and Research	1065-9293	1939-0149	1992	44	1				http://content.apa.org/journals/cpb		cpb				Educational Publishing Foundation
Couple and Family Psychology: Research and Practice	2160-4096	2160-410X	2011-08	1	S				http://content.apa.org/journals/cfp		cfp				Educational Publishing Foundation
Crisis: The Journal of Crisis Intervention and Suicide Prevention	0227-5910	2151-2396	1995	16	1	2009	30	2	http://content.apa.org/journals/cri		cri				Hogrefe & Huber Publishers
Crisis: The Journal of Crisis Intervention and Suicide Prevention	0227-5910	2151-2396	2009	30	3				http://content.apa.org/journals/cri		cri				Hogrefe Publishing
Cultural Diversity and Mental Health	1077-341X		1995	1	1	1998	4	2	http://content.apa.org/journals/cdp		cdp				John Wiley & Sons, Inc.
Cultural Diversity and Mental Health	1077-341X		1998	4	3	1998	4	4	http://content.apa.org/journals/cdp		cdp				Educational Publishing Foundation
Cultural Diversity and Ethnic Minority Psychology	1099-9809	1939-0106	1999-02	5	1				http://content.apa.org/journals/cdp		cdp				Educational Publishing Foundation
Decision	2325-9965	2325-9973	2013-08	1	S				http://content.apa.org/journals/dec		dec				Educational Publishing Foundation
Developmental Psychology	0012-1649	1939-0599	1969-01	1	1				http://content.apa.org/journals/dev		dev				American Psychological Association
Dreaming	1053-0797	1573-3351	1991-03	1	1	1998-12	8	4	http://content.apa.org/journals/drm		drm				Human Sciences Press, Inc.
Dreaming	1053-0797	1573-3351	1999-03	9	1	2003-12	13	4	http://content.apa.org/journals/drm		drm				Kluwer Academic/Human Sciences Press
Dreaming	1053-0797	1573-3351	2004-03	14	1				http://content.apa.org/journals/drm		drm				Educational Publishing Foundation
Emotion	1528-3542	1931-1516	2001-03	1	1				http://content.apa.org/journals/emo		emo				American Psychological Association
European Journal of Psychological Assessment	1015-5759	2151-2426	1995	11	1	2009	25	4	http://content.apa.org/journals/jpa		jpa				Hogrefe & Huber Publishers
European Journal of Psychological Assessment	1015-5759	2151-2426	2010	26	1				http://content.apa.org/journals/jpa		jpa				Hogrefe Publishing
European Psychologist	1016-9040	1878-531X	1996-03	1	1	2009	14	3	http://content.apa.org/journals/epp		epp				Hogrefe & Huber Publishers
European Psychologist	1016-9040	1878-531X	2009	14	4				http://content.apa.org/journals/epp		epp				Hogrefe Publishing
Experimental and Clinical Psychopharmacology	1064-1297	1936-2293	1993-10	1	1-4				http://content.apa.org/journals/pha		pha				American Psychological Association
Experimental Psychology	1618-3169	2190-5142	2002	49	1	2009	56	6	http://content.apa.org/journals/zea		zea				Hogrefe & Huber Publishers
Experimental Psychology	1618-3169	2190-5142	2010	57	1				http://content.apa.org/journals/zea		zea				Hogrefe Publishing
Family Systems Medicine	0736-1718		1983	1	1	1986	4	4	http://content.apa.org/journals/fsh		fsh				Brunner/Mazel Publishers, Inc.
Family Systems Medicine	0736-1718		1987	5	1	1989	7	4	http://content.apa.org/journals/fsh		fsh				Family Systems Medicine, Inc.
Family Systems Medicine	0736-1718		1990	8	1	1994	12	4	http://content.apa.org/journals/fsh		fsh				Family Process, Inc.
Family Systems Medicine	0736-1718		1995	13	1	1995	13	3-4	http://content.apa.org/journals/fsh		fsh				Families, Systems & Health, Inc.
Families, Systems, & Health	1091-7527	1939-0602	1996-03	14	1	2003	21	4	http://content.apa.org/journals/fsh		fsh				Families, Systems & Health, Inc.
Families, Systems, & Health	1091-7527	1939-0602	2004	22	1				http://content.apa.org/journals/fsh		fsh				Educational Publishing Foundation
GeroPsych: The Journal of Gerontopsychology and Geriatric Psychiatry	1662-9647	1662-971X	2010-03	23	1				http://content.apa.org/journals/gro		gro				Hogrefe Publishing
Group Dynamics: Theory, Research, and Practice	1089-2699	1930-7802	1997-03	1	1				http://content.apa.org/journals/gdn		gdn				Educational Publishing Foundation
Health Psychology	0278-6133	1930-7810	1982	1	1	1992	11	6	http://content.apa.org/journals/hea		hea				Lawrence Erlbaum Associates
Health Psychology	0278-6133	1930-7810	1993-01	12	1				http://content.apa.org/journals/hea		hea				American Psychological Association
History of Psychology	1093-4510	1939-0610	1998-02	1	1				http://content.apa.org/journals/hop		hop				Educational Publishing Foundation
International Journal of Play Therapy	1555-6824	1939-0629	1992	1	1	2006	15	2	http://content.apa.org/journals/pla		pla				Assn for Play Therapy
International Journal of Play Therapy	1555-6824	1939-0629	2007	16	1				http://content.apa.org/journals/pla		pla				Educational Publishing Foundation
International Journal of Stress Management	1072-5245	1573-3424	2003-02	10	1				http://content.apa.org/journals/str		str				Educational Publishing Foundation
International Perspectives in Psychology: Research, Practice, Consultation	2157-3883	2157-3891	2011-08	1	S				http://content.apa.org/journals/ipp		ipp				Educational Publishing Foundation
Journal of Animal Behavior	0095-9928		1911-01	1	1	1916-11	6	6	http://content.apa.org/journals/jab		jab				Henry Holt and Company, Inc.
Journal of Applied Psychology	0021-9010	1939-1854	1917-03	1	1				http://content.apa.org/journals/apl		apl				American Psychological Association
Journal of Comparative Psychology	0093-4127		1921-02	1	1	1946-12	39	6	http://content.apa.org/journals/com		com				Williams & Wilkins Company
Journal of Comparative and Physiological Psychology	0021-9940		1947-02	40	1	1982-12	96	6	http://content.apa.org/journals/com		com				American Psychological Association
Journal of Comparative Psychology	0735-7036	1939-2087	1983-03	97	1				http://content.apa.org/journals/com		com				American Psychological Association
Journal of Consulting Psychology	0095-8891		1937-01	1	1	1939-11	3	6	http://content.apa.org/journals/ccp		ccp				Science Press Printing Company
Journal of Consulting Psychology	0095-8891		1940-01	4	1	1940-11	4	6	http://content.apa.org/journals/ccp		ccp				Dentan Printing Company
Journal of Consulting Psychology	0095-8891		1941-01	5	1	1945-11	9	6	http://content.apa.org/journals/ccp		ccp				American Association for Applied Psychology
Journal of Consulting Psychology	0095-8891		1946-01	10	1	1967-12	31	6	http://content.apa.org/journals/ccp		ccp				American Psychological Association
Journal of Consulting and Clinical Psychology	0022-006X	1939-2117	1968-02	32	1				http://content.apa.org/journals/ccp		ccp				American Psychological Association
Journal of Counseling Psychology	0022-0167	1939-2168	1954	1	1	1966	13	4	http://content.apa.org/journals/cou		cou				Wm. C. Brown Co.
Journal of Counseling Psychology	0022-0167	1939-2168	1967-01	14	1				http://content.apa.org/journals/cou		cou				American Psychological Association
Journal of Diversity in Higher Education	1938-8926	1938-8934	2008-03	1	1				http://content.apa.org/journals/dhe		dhe				Educational Publishing Foundation
Journal of Educational Psychology	0022-0663	1939-2176	1910-01	1	1	1956-12	47	8	http://content.apa.org/journals/edu		edu				Warwick & York
Journal of Educational Psychology	0022-0663	1939-2176	1957-01	48	1				http://content.apa.org/journals/edu		edu				American Psychological Association
Journal of Experimental Psychology	0022-1015		1916-02	1	1	1938-06	22	6	http://content.apa.org/journals/xge		xge				Psychological Review Company
Journal of Experimental Psychology	0022-1015		1938-07	23	1	1974-12	103	6	http://content.apa.org/journals/xge		xge				American Psychological Association
Journal of Experimental Psychology: General	0096-3445	1939-2222	1975-03	104	1				http://content.apa.org/journals/xge		xge				American Psychological Association
Journal of Experimental Psychology: Animal Behavior Processes	0097-7403	1939-2184	1975-01	1	1	2013-10	39	4	http://content.apa.org/journals/xan		xan				American Psychological Association
Journal of Experimental Psychology: Animal Learning and Cognition	2329-8456	2329-8464	2014-01	40	1				http://content.apa.org/journals/xan		xan				American Psychological Association
Journal of Experimental Psychology: Applied	1076-898X	1939-2192	1995-03	1	1				http://content.apa.org/journals/xap		xap				American Psychological Association
Journal of Experimental Psychology: Human Learning and Memory	0096-1515		1975-01	1	1	1981-11	7	6	http://content.apa.org/journals/xlm		xlm				American Psychological Association
Journal of Experimental Psychology: Learning, Memory, and Cognition	0278-7393	1939-1285	1982-01	8	1				http://content.apa.org/journals/xlm		xlm				American Psychological Association
Journal of Experimental Psychology: Human Perception and Performance	0096-1523	1939-1277	1975-02	1	1				http://content.apa.org/journals/xhp		xhp				American Psychological Association
Journal of Family Psychology	0893-3200	1939-1293	1987-09	1	1	1989-06	2	4	http://content.apa.org/journals/fam		fam				Sage Publications
Journal of Family Psychology	0893-3200	1939-1293	1989-09	3	1	1992-03	5	3-4	http://content.apa.org/journals/fam		fam				Sage Periodicals Press
Journal of Family Psychology	0893-3200	1939-1293	1992-09	6	1				http://content.apa.org/journals/fam		fam				American Psychological Association
Journal of Individual Differences	1614-0001	2151-2299	2005	26	1	2009	30	3	http://content.apa.org/journals/jid		jid				Hogrefe & Huber Publishers
Journal of Individual Differences	1614-0001	2151-2299	2009	30	4				http://content.apa.org/journals/jid		jid				Hogrefe Publishing
Journal of Latina/o Psychology	2168-1678	2163-0070	2012-08	1	S				http://content.apa.org/journals/lat		lat				Educational Publishing Foundation
Journal of Media Psychology: Theories, Methods, and Applications	1864-1105		2008	20	1	2009	21	2	http://content.apa.org/journals/jmp		jmp				Hogrefe & Huber Publishers
Journal of Media Psychology: Theories, Methods, and Applications	1864-1105		2009	21	3	2010	22	4	http://content.apa.org/journals/jmp		jmp				Hogrefe Publishing
Journal of Media Psychology: Theories, Methods, and Applications	1864-1105	2151-2388	2011	23	1				http://content.apa.org/journals/jmp		jmp				Hogrefe Publishing
Journal of Neuroscience, Psychology, and Economics	1937-321X	2151-318X	2008	1	1	2008	1	1	http://content.apa.org/journals/npe		npe				Association for NeuroPsychoEconomics
Journal of Neuroscience, Psychology, and Economics	1937-321X	2151-318X	2009-05	2	1				http://content.apa.org/journals/npe		npe				Educational Publishing Foundation
Journal of Occupational Health Psychology	1076-8998	1939-1307	1996-01	1	1				http://content.apa.org/journals/ocp		ocp				Educational Publishing Foundation
Journal of Personality and Social Psychology	0022-3514	1939-1315	1965-01	1	1				http://content.apa.org/journals/psp		psp				American Psychological Association
Journal of Personnel Psychology	1866-5888	2190-5150	2010	9	1				http://content.apa.org/journals/prs		prs				Hogrefe Publishing
Journal of Psychophysiology	0269-8803	2151-2124	1999	13	1	2009	23	1	http://content.apa.org/journals/jop		jop				Hogrefe & Huber Publishers
Journal of Psychophysiology	0269-8803	2151-2124	2009	23	2				http://content.apa.org/journals/jop		jop				Hogrefe Publishing
Journal of Psychotherapy Integration	1053-0479	1573-3696	2002-03	12	1				http://content.apa.org/journals/int		int				Educational Publishing Foundation
Journal of Rural Mental Health	1935-942X	2163-8969	2007	31	3	2012	36	2	http://content.apa.org/journals/rmh		rmh				National Association for Rural Mental Health
Journal of Rural Mental Health	1935-942X	2163-8969	2013-09	37	1				http://content.apa.org/journals/rmh		rmh				Educational Publishing Foundation
Journal of Social, Evolutionary, and Cultural Psychology		1933-5377	2007-01	1	1	2013-12	7	4	http://content.apa.org/journals/ebs		ebs				NorthEastern Evolutionary Psychology Society
Evolutionary Behavioral Sciences	2330-2925	2330-2933	2014-01	8	1				http://content.apa.org/journals/ebs		ebs				Educational Publishing Foundation
Journal of Threat Assessment and Management	2169-4842	2169-4850	2014-03	1	1				http://content.apa.org/journals/tam		tam				Educational Publishing Foundation
Law and Human Behavior	0147-7307	1573-661X	1977-03	1	1	1996-12	20	6	http://content.apa.org/journals/lhb		lhb				Plenum Publishing Corp.
Law and Human Behavior	0147-7307	1573-661X	1997-02	21	1	2004-12	28	6	http://content.apa.org/journals/lhb		lhb				Kluwer Academic/Plenum Publishers
Law and Human Behavior	0147-7307	1573-661X	2005-02	29	1	2011-12	35	6	http://content.apa.org/journals/lhb		lhb				Springer
Law and Human Behavior	0147-7307	1573-661X	2012-02	36	1				http://content.apa.org/journals/lhb		lhb				Educational Publishing Foundation
Methodology: European Journal of Research Methods for the Behavioral and Social Sciences	1614-1881	1614-2241	2005	1	1	2009	5	4	http://content.apa.org/journals/med		med				Hogrefe & Huber Publishers
Methodology: European Journal of Research Methods for the Behavioral and Social Sciences	1614-1881	1614-2241	2010	6	1				http://content.apa.org/journals/med		med				Hogrefe Publishing
Military Psychology	0899-5605	1532-7876	1989	1	1	2007	19	4	http://content.apa.org/journals/mil		mil				Lawrence Erlbaum
Military Psychology	0899-5605	1532-7876	2008	20	S1	2012-11	24	6	http://content.apa.org/journals/mil		mil				Taylor & Francis
Military Psychology	0899-5605	1532-7876	2013-01	25	1				http://content.apa.org/journals/mil		mil				Educational Publishing Foundation
Neuropsychology	0894-4105	1931-1559	1987-05	1	1	1987-11	1	2	http://content.apa.org/journals/neu		neu				Philadelphia Clinical Neuropsychology Group
Neuropsychology	0894-4105	1931-1559	1988	2	1	1990-10	4	4	http://content.apa.org/journals/neu		neu				Taylor & Francis
Neuropsychology	0894-4105	1931-1559	1991-01	5	1	1992-10	6	4	http://content.apa.org/journals/neu		neu				Educational Publishing Foundation
