Title	ISSN	Documentation
American Sociological Review	0003-1224	http://www.asanet.org/journals/asr/american_sociological_review.cfm
Contemporary Sociology	0094-3061	http://www.asanet.org/journals/cs/cs.cfm
Journal of Health and Social Behavior	0022-1465	http://www.asanet.org/journals/jhsb/jhsb.cfm
Social Psychology Quarterly	0190-2725	http://www.asanet.org/journals/spq/social_psychology_quarterly.cfm
Sociological Methodology	0081-1750	http://www.asanet.org/journals/sm/sm.cfm
Sociological Theory	0735-2751	http://www.asanet.org/journals/st/st.cfm
Sociology of Education	0038-0407	http://www.asanet.org/journals/soe/soe.cfm
Teaching Sociology	0092-055X	http://www.asanet.org/journals/ts/index.cfm
Journal of World Systems Research	1076-156X	http://www.jwsr.org/
City & Community	1535-6841	http://www.asanet.org/journals/cc/cc.cfm
Society and Mental Health	2156-8693	http://www.asanet.org/journals/smh.cfm
