Title	ISSN	eISSN	Documentation
Journal of Composites for Construction	1090-0268	1943-5614	http://ascelibrary.org/journal/jccof2
Journal of Construction Engineering and Management	0733-9364	1943-7862	http://ascelibrary.org/journal/jcemd4
Journal of Legal Affairs and Dispute Resolution in Engineering and Construction	1943-4162	1943-4170	http://ascelibrary.org/journal/jladah
Journal of Materials in Civil Engineering	0899-1561	1943-5533	http://ascelibrary.org/journal/jmcee7
Journal of Engineering Mechanics	0733-9399	1943-7889	http://ascelibrary.org/journal/jenmdt
Journal of Nanomechanics and Micromechanics	2153-5434	2153-5477	http://ascelibrary.org/journal/jnmoco
Journal of Environmental Engineering	0733-9372	1943-7870	http://ascelibrary.org/journal/joeedu
Journal of Hazardous, Toxic, and Radioactive Waste	2153-5493	2153-5515	http://ascelibrary.org/journal/jhtrbp
Journal of Hydraulic Engineering	0733-9429	1943-7900	http://ascelibrary.org/journal/jhend8
Journal of Hydrologic Engineering	1084-0699	1943-5584	http://ascelibrary.org/journal/jhyeff
Journal of Irrigation and Drainage Engineering	0733-9437	1943-4774	http://ascelibrary.org/journal/jidedh
Journal of Sustainable Water in the Built Environment	x	2379-6111	http://ascelibrary.org/journal/jswbay
Journal of Water Resources Planning and Management	0733-9496	1943-5452	http://ascelibrary.org/journal/jwrmd5
International Journal of Geomechanics	1532-3641	1943-5622	http://ascelibrary.org/journal/ijgnai
Journal of Geotechnical and Geoenvironmental Engineering	1090-0241	1943-5606	http://ascelibrary.org/journal/jggefk
Leadership and Management in Engineering	1532-6748	1943-5630	http://ascelibrary.org/journal/lmeeaz
Journal of Management in Engineering	0742-597X	1943-5479	http://ascelibrary.org/journal/jmenea
Journal of Professional Issues in Engineering Education and Practice	1052-3928	1943-5541	http://ascelibrary.org/journal/jpepe3
Journal of Bridge Engineering	1084-0702	1943-5592	http://ascelibrary.org/journal/jbenf2
Practice Periodical on Structural Design and Construction	 1084-0680	1943-5576	http://ascelibrary.org/journal/ppscfx
Journal of Structural Engineering	0733-9445	1943-541X	http://ascelibrary.org/journal/jsendh
Journal of Highway and Transportation Research and Development	x	2095-6215	http://ascelibrary.org/journal/jhtrcq
Journal of Infrastructure Systems	1076-0342	1943-555X	http://ascelibrary.org/journal/jitse4
Journal of Transportation Engineering	0733-947X	1943-5436	http://ascelibrary.org/journal/jtpedi
Journal of Urban Planning and Development	0733-9488	1943-5444	http://ascelibrary.org/journal/jupddm
Journal of Waterway, Port, Coastal, and Ocean Engineering	0733-950X	1943-5460	http://ascelibrary.org/journal/jwped5
ASCE-ASME Journal of Risk and Uncertainty in Engineering Systems, Part A: Civil Engineering	x	2376-7642	http://ascelibrary.org/journal/ajrua6
Journal of Aerospace Engineering	0893-1321	1943-5525	http://ascelibrary.org/journal/jaeeez
Journal of Architectural Engineering	1076-0431	1943-5568	http://ascelibrary.org/journal/jaeied
Journal of Cold Regions Engineering	0887-381X	1943-5495	http://ascelibrary.org/journal/jcrgei
Journal of Computing in Civil Engineering	0887-3801	1943-5487	http://ascelibrary.org/journal/jccee5
Journal of Energy Engineering	0733-9402	1943-7897	http://ascelibrary.org/journal/jleed9
Journal of Performance of Constructed Facilities	0887-3828	1943-5509	http://ascelibrary.org/journal/jpcfev
Journal of Pipeline Systems Engineering and Practice	1949-1190	1949-1204	http://ascelibrary.org/journal/jpsea2
Journal of Surveying Engineering	0733-9453	1943-5428	http://ascelibrary.org/journal/jsued2
Natural Hazards Review	1527-6988	1527-6996	http://ascelibrary.org/journal/nhrefo
