Title	TitleShort	ISSN	Documentation	Parent	Format
EURASIP Journal on Bioinformatics and Systems Biology	EURASIP J Bioinform Syst Biol	1687-4153	http://bsb.eurasipjournals.com	american-physiological-society	numeric
Evolution: Education and Outreach	Evol Educ Outreach	1936-6434	http://www.evolution-outreach.com/content	apa	author-date
New Zealand Journal of Forestry Science	New Zealand J For Sci	1179-5395	http://www.nzjforestryscience.com	apa	author-date
AMB Express	AMB Express	2191-0855	http://www.amb-express.com	springer-basic-author-date	author-date
Acta Neuropathologica Communications	Acta Neuropathol Commun	2051-5960	http://www.actaneurocomms.org	springer-basic-brackets	numeric
Botanical Studies	Bot Stud	1999-3110	http://www.as-botanicalstudies.com	springer-basic-author-date	author-date
Brazilian Journal of Science and Technology	Braz J Sci Technol	2196-288X	http://www.bjst-journal.com	springer-basic-author-date	author-date
Critical Ultrasound Journal	Crit Ultrasound J	2036-7902	http://www.criticalultrasoundjournal.com	springer-basic-brackets	numeric
Environmental Sciences Europe	Environ Sci Eur	2190-4715	http://www.enveurope.com	springer-basic-brackets	numeric
In Silico Pharmacology	In Silico Pharmacol	2193-9616	http://www.in-silico-pharmacology.com	springer-basic-author-date	author-date
Intensive Care Medicine Experimental	Intensive Care Med Exp	2197-425X	http://www.icm-experimental.com	springer-basic-brackets	numeric
Journal of Ophthalmic Inflammation and Infection	J OPHTH INFLAMM INFECT	1869-5760	http://www.joii-journal.com	springer-basic-brackets	numeric
Optical Nanoscopy	Opt Nanoscopy	2192-2853	http://www.optnano.com	springer-basic-author-date	author-date
Progress in Biomaterials	Prog Biomater	2194-0517	http://www.progressbiomaterials.com	springer-basic-author-date	author-date
Rice	Rice	1939-8433	http://www.thericejournal.com	springer-basic-author-date	author-date
SpringerPlus	SpringerPlus	2193-1801	http://www.springerplus.com	springer-basic-author-date	author-date
The HUGO Journal	Hugo J	1877-6566	http://www.thehugojournal.com	springer-basic-author-date	author-date
The Journal of Headache and Pain	J Headache Pain	1129-2377	http://www.thejournalofheadacheandpain.com	springer-basic-brackets	numeric
Zoological Studies	Zool Stud	1810-522X	http://www.zoologicalstudies.com	springer-basic-author-date	author-date
AIDS Research and Therapy	AIDS Res Ther	1742-6405	http://www.aidsrestherapy.com	biomed-central	numeric
Acta Veterinaria Scandinavica	Acta Vet Scand	1751-0147	http://www.actavetscand.com	biomed-central	numeric
Addiction Science & Clinical Practice	Addict Sci Clin Pract	1940-0640	http://www.ascpjournal.org	biomed-central	numeric
Agriculture & Food Security	Agric Food Secur	2048-7010	http://www.agricultureandfoodsecurity.com	biomed-central	numeric
Algorithms for Molecular Biology	Algorithms Mol Biol	1748-7188	http://www.almob.org	biomed-central	numeric
Allergy, Asthma & Clinical Immunology	Allergy Asthma Clin Immunol	1710-1492	http://www.aacijournal.com	biomed-central	numeric
Alzheimer's Research & Therapy	Alzheimers Res Ther	1758-9193	http://alzres.com	biomed-central	numeric
Animal Biotelemetry	Anim Biotelem	2050-3385	http://www.animalbiotelemetry.com	biomed-central	numeric
Annals of Clinical Microbiology and Antimicrobials	Ann Clin Microbiol Antimicrob	1476-0711	http://www.ann-clinmicrob.com	biomed-central	numeric
Annals of General Psychiatry	Ann Gen Psychiatry	1744-859X	http://www.annals-general-psychiatry.com	biomed-central	numeric
Annals of Intensive Care	Ann Intensive Care	2110-5820	http://www.annalsofintensivecare.com	biomed-central	numeric
Annals of Occupational and Environmental Medicine	Ann Occup Environ Med	2052-4374	http://www.aoemj.com	biomed-central	numeric
Annals of Surgical Innovation and Research	Ann Surg Innov Res	1750-1164	http://www.asir-journal.com	biomed-central	numeric
Antimicrobial Resistance and Infection Control	Antimicrob Resist Infect Control	2047-2994	http://www.aricjournal.com	biomed-central	numeric
Aquatic Biosystems	Aquat Biosyst	2046-9063	http://www.aquaticbiosystems.org	biomed-central	numeric
Archives of Public Health	Arch Public Health	2049-3258	http://www.archpublichealth.com	biomed-central	numeric
Arthritis Research & Therapy	Arthritis Res Ther	1478-6354	http://arthritis-research.com/	biomed-central	numeric
Asia Pacific Family Medicine	Asia Pac Fam Med	1447-056X	http://www.apfmj.com	biomed-central	numeric
BMC Anesthesiology	BMC Anesthesiol	1471-2253	http://www.biomedcentral.com/bmcanesthesiol/	biomed-central	numeric
BMC Biochemistry	BMC Biochem	1471-2091	http://www.biomedcentral.com/bmcbiochem/	biomed-central	numeric
BMC Bioinformatics	BMC Bioinformatics	1471-2105	http://www.biomedcentral.com/bmcbioinformatics/	biomed-central	numeric
BMC Biology	BMC Biol	1741-7007	http://www.biomedcentral.com/bmcbiol/	biomed-central	numeric
BMC Biophysics	BMC Biophys	2046-1682	http://www.biomedcentral.com/bmcbiophys	biomed-central	numeric
BMC Biotechnology	BMC Biotechnol	1472-6750	http://www.biomedcentral.com/bmcbiotechnol/	biomed-central	numeric
