Title	ISSN	EISSN	Documentation	Field
Trends in Biochemical Sciences	0968-0004	x	http://www.cell.com/trends/biochemical-sciences	biology
Trends in Biotechnology	0167-7799	1879-3096	http://www.cell.com/trends/biotechnology	biology
Trends in Cell Biology	0962-8924	1879-3088	http://www.cell.com/trends/cell-biology	biology
Trends in Cognitive Sciences	1364-6613	1879-307X	http://www.cell.com/trends/cognitive-sciences	psychology
Trends in Ecology & Evolution	0169-5347	x	http://www.cell.com/trends/ecology-evolution	biology
Trends in Endocrinology & Metabolism	1043-2760	1879-3061	http://www.cell.com/trends/endocrinology-metabolism	medicine
Trends in Genetics	0168-9525	x	http://www.cell.com/trends/genetics	biology
Trends in Immunology	1471-4906	1471-4981	http://www.cell.com/trends/immunology	medicine
Trends in Microbiology	0966-842X	1878-4380	http://www.cell.com/trends/microbiology	biology
Trends in Molecular Medicine	1471-4914	1471-499X	http://www.cell.com/trends/molecular-medicine	medicine
Trends in Neurosciences	0166-2236	1878-108X	http://www.cell.com/trends/neurosciences	medicine
Trends in Parasitology	1471-4922	1471-5007	http://www.cell.com/trends/parasitology	medicine
Trends in Pharmacological Sciences	0165-6147	1873-3735	http://www.cell.com/trends/pharmacological-sciences	medicine
Trends in Plant Science	1360-1385	1878-4372	http://www.cell.com/trends/plant-science	botany
