TITLE	ISSN	EISSN	PARENT	DOCUMENTATION
Australian Journal of Zoology	0004-959X	1446-5698	emu-austral-ornithology	http://www.publish.csiro.au/nid/93/aid/392.htm#10
Australian Mammalogy	0310-0049	1836-7402	emu-austral-ornithology	http://www.publish.csiro.au/nid/258/aid/11408.htm#6
Invertebrate Systematics	1445-5226	1447-2600	emu-austral-ornithology	http://www.publish.csiro.au/nid/123/aid/428.htm#6
Marine & Freshwater Research	1323-1650	1448-6059	emu-austral-ornithology	http://www.publish.csiro.au/nid/129/aid/434.htm#7
Wildlife Research	1035-3712	1448-5494	emu-austral-ornithology	http://www.publish.csiro.au/nid/147/aid/447.htm#10
Animal Production Science	1836-0939	1836-5787	international-journal-of-wildland-fire	http://www.publish.csiro.au/nid/75/aid/376.htm#14
Australian Journal of Botany	0067-1924	1444-9862	international-journal-of-wildland-fire	http://www.publish.csiro.au/nid/69/aid/366.htm#13
Australian Journal of Primary Health	1448-7527	1836-7399	international-journal-of-wildland-fire	http://www.publish.csiro.au/nid/263/aid/11564.htm#15
Australian Systematic Botany	1030-1887	1446-5701	international-journal-of-wildland-fire	http://www.publish.csiro.au/nid/153/aid/398.htm#13
Crop & Pasture Science	1836-0947	1836-5795	international-journal-of-wildland-fire	http://www.publish.csiro.au/nid/62/aid/199.htm#17
Functional Plant Biology	1445-4408	1445-4416	international-journal-of-wildland-fire	http://www.publish.csiro.au/nid/105/aid/413.htm#4
Soil Research	1838-675X	1838-6768	international-journal-of-wildland-fire	http://www.publish.csiro.au/nid/87/aid/385.htm#11
The Rangeland Journal	1036-9872	1834-7541	international-journal-of-wildland-fire	http://www.publish.csiro.au/nid/206/aid/4844.htm#16
