acm-computing-surveys	computing-surveys
acm-journal-on-emerging-technologies-in-computing-systems	journal-on-emerging-technologies-in-computing-systems
acm-transactions-on-accessible-computing	transactions-on-accessible-computing
acm-transactions-on-algorithms	transactions-on-algorithms
acm-transactions-on-applied-perception	transactions-on-applied-perception
acm-transactions-on-architecture-and-code-optimization	transactions-on-architecture-and-code-optimization
acm-transactions-on-asian-language-information-processing	transactions-on-asian-language-information-processing
acm-transactions-on-autonomous-and-adaptive-systems	transactions-on-autonomous-and-adaptive-systems
acm-transactions-on-computation-theory	transactions-on-computation-theory
acm-transactions-on-computational-logic	transactions-on-computational-logic
acm-transactions-on-computer-human-interaction	transactions-on-computer-human-interaction
acm-transactions-on-computer-systems	transactions-on-computer-systems
acm-transactions-on-computing-education	transactions-on-computing-education
acm-transactions-on-database-systems	transactions-on-database-systems
acm-transactions-on-design-automation-of-electronic-systems	transactions-on-design-automation-of-electronic-systems
acm-transactions-on-embedded-computing-systems	transactions-on-embedded-computing-systems
acm-transactions-on-graphics	transactions-on-graphics
acm-transactions-on-information-and-system-security	transactions-on-information-and-system-security
acm-transactions-on-information-systems	transactions-on-information-systems
acm-transactions-on-intelligent-systems-and-technology	transactions-on-intelligent-systems-and-technology
acm-transactions-on-interactive-intelligent-systems	transactions-on-interactive-intelligent-systems
acm-transactions-on-internet-technology	transactions-on-internet-technology
acm-transactions-on-knowledge-discovery-from-data	transactions-on-knowledge-discovery-from-data
acm-transactions-on-management-information-systems	transactions-on-management-information-systems
acm-transactions-on-mathematical-software	transactions-on-mathematical-software
acm-transactions-on-modeling-and-computer-simulation	transactions-on-modeling-and-computer-simulation
acm-transactions-on-multimedia-computing-communications-and-applications	transactions-on-multimedia-computing-communications-and-applications
acm-transactions-on-parallel-computing	transactions-on-parallel-computing
acm-transactions-on-programming-languages-and-systems	transactions-on-programming-languages-and-systems
acm-transactions-on-reconfigurable-technology-and-systems	transactions-on-reconfigurable-technology-and-systems
acm-transactions-on-sensor-networks	transactions-on-sensor-networks
acm-transactions-on-software-engineering-and-methodology	transactions-on-software-engineering-and-methodology
acm-transactions-on-spatial-algorithms-and-systems	transactions-on-spatial-algorithms-and-systems
acm-transactions-on-speech-and-language-processing	transactions-on-speech-and-language-processing
acm-transactions-on-storage	transactions-on-storage
acm-transactions-on-the-web	transactions-on-the-web
computers-in-entertainment	computers-in-entertainment
journal-of-data-and-information-quality	journal-of-data-and-information-quality
journal-of-experimental-algorithmics	journal-of-experimental-algorithmics
journal-of-the-acm	journal-of-the-acm
journal-on-computing-and-cultural-heritage	journal-on-computing-and-cultural-heritage
