Title	ISSN	eISSN	Documentation	Field	Field2
Applied Physics Letters	0003-6951	1077-3118	http://apl.aip.org/authors/information_for_contributors	physics	x
Biomicrofluidics		1932-1058	http://bmf.aip.org/authors/information_for_contributors#prepare	physics	biology
Chaos	1054-1500	1089-7682	http://chaos.aip.org/authors/information_for_contributors#manuscript	physics	x
Journal of Applied Physics	0021-8979	1089-7550	http://jap.aip.org/	physics	x
Journal of Mathematical Physics	0022-2488	1089-7658	http://jmp.aip.org/jmp/submit.jsp#manuscript	physics	math
Journal of Physical and Chemical Reference Data	0047-2689	1529-7845	http://jpcrd.aip.org/jpcrd/submit.jsp#how	physics	chemistry
Journal of Renewable and Sustainable Energy		1941-7012	http://jrse.aip.org/	physics	engineering
Low Temperature Physics	1063-777X	1090-6517	http://ltp.aip.org/	physics	x
Physical Review B	1098-0121	1550-235x	http://authors.aps.org/STYLE/ms.html#citations	physics	x
Physics of Fluids	1070-6631	1089-7666	http://pof.aip.org/	physics	x
Physics of Plasmas	1070-664X	1089-7674	http://pop.aip.org/	physics	x
Review of Scientific Instruments	0034-6748	1089-7623	http://rsi.aip.org/	physics	engineering
The Journal of Chemical Physics	0021-9606	1089-7690	http://jcp.aip.org/	physics	chemistry
