Title	ISSN	eISSN	Documentation
American Journal of Orthopsychiatry	0002-9432	1939-0025	http://content.apa.org/journals/ort
American Psychologist	0003-066X	1935-990X	http://content.apa.org/journals/amp
Archives of Scientific Psychology		2169-3269	http://content.apa.org/journals/arc
Asian American Journal of Psychology	1948-1985	1948-1993	http://content.apa.org/journals/aap
Aviation Psychology and Applied Human Factors	2192-0923	2192-0931	http://content.apa.org/journals/apf
Behavioral Neuroscience	0735-7044	1939-0084	http://content.apa.org/journals/bne
Canadian Journal of Behavioural Science	0008-400X	1879-2669	http://content.apa.org/journals/cbs
Canadian Journal of Experimental Psychology	1196-1961	1878-7290	http://content.apa.org/journals/cep
Canadian Psychology	0708-5591	1878-7304	http://content.apa.org/journals/cap
Clinical Practice in Pediatric Psychology	2169-4826	2169-4834	http://content.apa.org/journals/cpp
Consulting Psychology Journal: Practice and Research	1065-9293	1939-0149	http://content.apa.org/journals/cpb
Couple and Family Psychology: Research and Practice	2160-4096	2160-410X	http://content.apa.org/journals/cfp
Crisis: The Journal of Crisis Intervention and Suicide Prevention	0227-5910	2151-2396	http://content.apa.org/journals/cri
Cultural Diversity and Ethnic Minority Psychology	1099-9809	1939-0106	http://content.apa.org/journals/cdp
Decision	2325-9965	2325-9973	http://content.apa.org/journals/dec
Developmental Psychology	0012-1649	1939-0599	http://content.apa.org/journals/dev
Dreaming	1053-0797	1573-3351	http://content.apa.org/journals/drm
Emotion	1528-3542	1931-1516	http://content.apa.org/journals/emo
European Journal of Psychological Assessment	1015-5759	2151-2426	http://content.apa.org/journals/jpa
European Psychologist	1016-9040	1878-531X	http://content.apa.org/journals/epp
Evolutionary Behavioral Sciences	2330-2925	2330-2933	http://content.apa.org/journals/ebs
Experimental and Clinical Psychopharmacology	1064-1297	1936-2293	http://content.apa.org/journals/pha
Experimental Psychology	1618-3169	2190-5142	http://content.apa.org/journals/zea
Families, Systems, & Health	1091-7527	1939-0602	http://content.apa.org/journals/fsh
GeroPsych: The Journal of Gerontopsychology and Geriatric Psychiatry	1662-9647	1662-971X	http://content.apa.org/journals/gro
Group Dynamics: Theory, Research, and Practice	1089-2699	1930-7802	http://content.apa.org/journals/gdn
Health Psychology	0278-6133	1930-7810	http://content.apa.org/journals/hea
History of Psychology	1093-4510	1939-0610	http://content.apa.org/journals/hop
International Journal of Play Therapy	1555-6824	1939-0629	http://content.apa.org/journals/pla
International Journal of Stress Management	1072-5245	1573-3424	http://content.apa.org/journals/str
International Perspectives in Psychology: Research, Practice, Consultation	2157-3883	2157-3891	http://content.apa.org/journals/ipp
Journal of Abnormal Psychology	0021-843X	1939-1846	http://content.apa.org/journals/abn
Journal of Applied Psychology	0021-9010	1939-1854	http://content.apa.org/journals/apl
Journal of Comparative Psychology	0735-7036	1939-2087	http://content.apa.org/journals/com
Journal of Consulting and Clinical Psychology	0022-006X	1939-2117	http://content.apa.org/journals/ccp
Journal of Counseling Psychology	0022-0167	1939-2168	http://content.apa.org/journals/cou
Journal of Diversity in Higher Education	1938-8926	1938-8934	http://content.apa.org/journals/dhe
Journal of Educational Psychology	0022-0663	1939-2176	http://content.apa.org/journals/edu
Journal of Experimental Psychology: Animal Learning and Cognition	2329-8456	2329-8464	http://content.apa.org/journals/xan
Journal of Experimental Psychology: Applied	1076-898X	1939-2192	http://content.apa.org/journals/xap
Journal of Experimental Psychology: General	0096-3445	1939-2222	http://content.apa.org/journals/xge
Journal of Experimental Psychology: Human Perception and Performance	0096-1523	1939-1277	http://content.apa.org/journals/xhp
Journal of Experimental Psychology: Learning, Memory, and Cognition	0278-7393	1939-1285	http://content.apa.org/journals/xlm
Journal of Family Psychology	0893-3200	1939-1293	http://content.apa.org/journals/fam
Journal of Individual Differences	1614-0001	2151-2299	http://content.apa.org/journals/jid
Journal of Latina/o Psychology	2168-1678	2163-0070	http://content.apa.org/journals/lat
Journal of Media Psychology: Theories, Methods, and Applications	1864-1105	2151-2388	http://content.apa.org/journals/jmp
Journal of Neuroscience, Psychology, and Economics	1937-321X	2151-318X	http://content.apa.org/journals/npe
Journal of Occupational Health Psychology	1076-8998	1939-1307	http://content.apa.org/journals/ocp
Journal of Personality and Social Psychology	0022-3514	1939-1315	http://content.apa.org/journals/psp
Journal of Personnel Psychology	1866-5888	2190-5150	http://content.apa.org/journals/prs
Journal of Psychophysiology	0269-8803	2151-2124	http://content.apa.org/journals/jop
Journal of Psychotherapy Integration	1053-0479	1573-3696	http://content.apa.org/journals/int
Journal of Rural Mental Health	1935-942X	2163-8969	http://content.apa.org/journals/rmh
Journal of Theoretical and Philosophical Psychology	1068-8471	2151-3341	http://content.apa.org/journals/teo
Journal of Threat Assessment and Management	2169-4842	2169-4850	http://content.apa.org/journals/tam
Law and Human Behavior	0147-7307	1573-661X	http://content.apa.org/journals/lhb
Methodology: European Journal of Research Methods for the Behavioral and Social Sciences	1614-1881	1614-2241	http://content.apa.org/journals/med
Military Psychology	0899-5605	1532-7876	http://content.apa.org/journals/mil
Neuropsychology	0894-4105	1931-1559	http://content.apa.org/journals/neu
Peace and Conflict: Journal of Peace Psychology	1078-1919	1532-7949	http://content.apa.org/journals/pac
Personality Disorders: Theory, Research, and Treatment	1949-2715	1949-2723	http://content.apa.org/journals/per
Professional Psychology: Research and Practice	0735-7028	1939-1323	http://content.apa.org/journals/pro
Psychiatric Rehabilitation Journal	1095-158X	1559-3126	http://content.apa.org/journals/prj
Psychoanalytic Psychology	0736-9735	1939-1331	http://content.apa.org/journals/pap
Psychological Assessment	1040-3590	1939-134X	http://content.apa.org/journals/pas
Psychological Bulletin	0033-2909	1939-1455	http://content.apa.org/journals/bul
Psychological Methods	1082-989X	1939-1463	http://content.apa.org/journals/met
Psychological Review	0033-295X	1939-1471	http://content.apa.org/journals/rev
Psychological Services	1541-1559	1939-148X	http://content.apa.org/journals/ser
Psychological Trauma: Theory, Research, Practice, and Policy	1942-9681	1942-969X	http://content.apa.org/journals/tra
Psychology and Aging	0882-7974	1939-1498	http://content.apa.org/journals/pag
Psychology of Addictive Behaviors	0893-164X	1939-1501	http://content.apa.org/journals/adb
Psychology of Aesthetics, Creativity, and the Arts	1931-3896	1931-390X	http://content.apa.org/journals/aca
Psychology of Consciousness: Theory, Research, and Practice	2326-5523	2326-5531	http://content.apa.org/journals/cns
Psychology of Men & Masculinity	1524-9220	1939-151X	http://content.apa.org/journals/men
Psychology of Popular Media Culture	2160-4134	2160-4142	http://content.apa.org/journals/ppm
Psychology of Religion and Spirituality	1941-1022	1943-1562	http://content.apa.org/journals/rel
Psychology of Sexual Orientation and Gender Diversity	2329-0382	2329-0390	http://content.apa.org/journals/sgd
Psychology of Violence	2152-0828	2152-081X	http://content.apa.org/journals/vio
Psychology, Public Policy, and Law	1076-8971	1939-1528	http://content.apa.org/journals/law
Psychomusicology: Music, Mind, and Brain	0275-3987	2162-1535	http://content.apa.org/journals/pmu
Psychotherapy	0033-3204	1939-1536	http://content.apa.org/journals/pst
Qualitative Psychology	2326-3598	2326-3601	http://content.apa.org/journals/qua
Rehabilitation Psychology	0090-5550	1939-1544	http://content.apa.org/journals/rep
Review of General Psychology	1089-2680	1939-1552	http://content.apa.org/journals/gpr
Rorschachiana	1192-5604	2151-206X	http://content.apa.org/journals/ror
School Psychology Quarterly	1045-3830	1939-1560	http://content.apa.org/journals/spq
Social Psychology	1864-9335	2151-2590	http://content.apa.org/journals/zsp
Spirituality in Clinical Practice	2326-4500	2326-4519	http://content.apa.org/journals/scp
Sport, Exercise, and Performance Psychology	2157-3905	2157-3913	http://content.apa.org/journals/spy
Swiss Journal of Psychology	1421-0185	1662-0879	http://content.apa.org/journals/sjp
The Psychologist-Manager Journal	1088-7156	1550-3461	http://content.apa.org/journals/mgr
Training and Education in Professional Psychology	1931-3918	1931-3926	http://content.apa.org/journals/tep
Traumatology: An International Journal		1085-9373	http://content.apa.org/journals/trm
Zeitschrift für Psychologie	2190-8370	2151-2604	http://content.apa.org/journals/zfp
