Title	ISSN	Documentation	Category1
American Sociological Review	0003-1224	http://www.asanet.org/journals/asr/american_sociological_review.cfm	sociology
Contemporary Sociology	0094-3061	http://www.asanet.org/journals/cs/cs.cfm	sociology
Journal of Health and Social Behavior	0022-1465	http://www.asanet.org/journals/jhsb/jhsb.cfm	sociology
Social Psychology Quarterly	0190-2725	http://www.asanet.org/journals/spq/social_psychology_quarterly.cfm	sociology
Sociological Methodology	0081-1750	http://www.asanet.org/journals/sm/sm.cfm	sociology
Sociological Theory	0735-2751	http://www.asanet.org/journals/st/st.cfm	sociology
Sociology of Education	0038-0407	http://www.asanet.org/journals/soe/soe.cfm	sociology
Teaching Sociology	0092-055X	http://www.asanet.org/journals/ts/index.cfm	sociology
Journal of World Systems Research	1076-156X	http://www.jwsr.org/	sociology
City & Community	1535-6841	http://www.asanet.org/journals/cc/cc.cfm	sociology
Society and Mental Health	2156-8693	http://www.asanet.org/journals/smh.cfm	sociology
