Title	ISSN	eISSN	Documentation
Applied Mechanics Reviews	0003-6900	1088-8535	http://appliedmechanicsreviews.asmedigitalcollection.asme.org/journal.aspx?journalid=113
Journal of Applied Mechanics	0021-8936	1528-9036	http://appliedmechanics.asmedigitalcollection.asme.org/journal.aspx
Journal of Biomechanical Engineering	0148-0731	1528-8951	http://biomechanical.asmedigitalcollection.asme.org/journal.aspx?journalid=114
Journal of Computational and Nonlinear Dynamics	1555-1415	1555-1423	http://computationalnonlinear.asmedigitalcollection.asme.org/journal.aspx?journalid=115
Journal of Computing and information Science in Engineering	1530-9827	1944-7078	http://computingengineering.asmedigitalcollection.asme.org/journal.aspx?journalid=116
Journal of Dynamic Systems, Measurement, and Control	0022-0434	1528-9028	http://dynamicsystems.asmedigitalcollection.asme.org/journal.aspx?journalid=117
Journal of Electronic Packaging	1043-7398	1528-9044	http://electronicpackaging.asmedigitalcollection.asme.org/journal.aspx?journalid=118
Journal of Energy Resources Technology	0195-0738	1528-8994	http://energyresources.asmedigitalcollection.asme.org/journal.aspx?journalid=119
Journal of Engineering for Gas Turbines and Power	0742-4795	1528-8919	http://gasturbinespower.asmedigitalcollection.asme.org/journal.aspx?journalid=120
Journal of Engineering Materials and Technology	0094-4289	1528-8889	http://materialstechnology.asmedigitalcollection.asme.org/journal.aspx?journalid=121
Journal of Fluids Engineering	0098-2202	1528-901X	http://fluidsengineering.asmedigitalcollection.asme.org/journal.aspx?journalid=122
Journal of Fuel Cell Science and Technology	1550-624X	1551-6989	http://fuelcellscience.asmedigitalcollection.asme.org/journal.aspx?journalid=123
Journal of Heat Transfer	0022-1481	1528-8943	http://heattransfer.asmedigitalcollection.asme.org/journal.aspx?journalid=124
Journal of Manufacturing Science and Engineering	1087-1357	1528-8935	http://manufacturingscience.asmedigitalcollection.asme.org/journal.aspx?journalid=125
Journal of Mechanical Design	1050-0472	1528-9001	http://mechanicaldesign.asmedigitalcollection.asme.org/journal.aspx?journalid=126
Journal of Mechanisms and Robotics	1942-4302	1942-4310	http://mechanismsrobotics.asmedigitalcollection.asme.org/journal.aspx?journalid=127
Journal of Medical Devices	1932-6181	1932-619X	http://medicaldevices.asmedigitalcollection.asme.org/journal.aspx?journalid=128
Journal of Micro and Nano-Manufacturing	2166-0468	2166-0476	http://micronanomanufacturing.asmedigitalcollection.asme.org/journal.aspx?journalid=137
Journal of Nanotechnology in Engineering and Medicine	1949-2944	1949-2952	http://nanoengineeringmedical.asmedigitalcollection.asme.org/journal.aspx?journalid=129
Journal of Offshore Mechanics and Arctic Engineering	0892-7219	1528-896X	http://offshoremechanics.asmedigitalcollection.asme.org/journal.aspx?journalid=130
Journal of Pressure Vessel Technology	0094-9930	1528-8978	http://pressurevesseltech.asmedigitalcollection.asme.org/journal.aspx?journalid=131
Journal of Solar Energy Engineering	0199-6231	1528-8986	http://solarenergyengineering.asmedigitalcollection.asme.org/journal.aspx?journalid=132
Journal of Thermal Science and Engineering Applications	1948-5085	1948-5093	http://thermalscienceapplication.asmedigitalcollection.asme.org/journal.aspx?journalid=133
Journal of Tribology	0742-4787	1528-8897	http://tribology.asmedigitalcollection.asme.org/journal.aspx?journalid=134
Journal of Turbomachinery	0889-504X	1528-8900	http://turbomachinery.asmedigitalcollection.asme.org/journal.aspx?journalid=135
Journal of Vibration and Acoustics	1048-9002	1528-8927	http://vibrationacoustics.asmedigitalcollection.asme.org/journal.aspx?journalid=136
