Publisher	Title	Abbreviation	ISSN	URL	Start Date
Beilstein-Institut	Beilstein Journal of Organic Chemistry	Beilstein J Org Chem	1860-5397	http://archive.biomedcentral.com/1860-5397/	2005
BioMed Central Ltd	Acta Veterinaria Scandinavica	Acta Vet Scand	1751-0147	http://www.actavetscand.com	2006
BioMed Central Ltd	Addiction Science & Clinical Practice	Addict Sci Clin Pract	1940-0640	http://www.ascpjournal.org	2011
BioMed Central Ltd	Agriculture & Food Security	Agric Food Secur	2048-7010	http://www.agricultureandfoodsecurity.com	2012
BioMed Central Ltd	AIDS Research and Therapy	AIDS Res Ther	1742-6405	http://www.aidsrestherapy.com	2004
BioMed Central Ltd	Algorithms for Molecular Biology	Algorithms Mol Biol	1748-7188	http://www.almob.org	2006
BioMed Central Ltd	Allergy, Asthma & Clinical Immunology	Allergy Asthma Clin Immunol	1710-1492	http://www.aacijournal.com	2009
BioMed Central Ltd	Alzheimer's Research & Therapy	Alzheimers Res Ther	1758-9193	http://alzres.com	2009
BioMed Central Ltd	Annals of Clinical Microbiology and Antimicrobials	Ann Clin Microbiol Antimicrob	1476-0711	http://www.ann-clinmicrob.com	2002
BioMed Central Ltd	Annals of General Psychiatry	Ann Gen Psychiatry	1744-859X	http://www.annals-general-psychiatry.com	2002
BioMed Central Ltd	Annals of Surgical Innovation and Research	Ann Surg Innov Res	1750-1164	http://www.asir-journal.com	2007
BioMed Central Ltd	Antimicrobial Resistance and Infection Control	Antimicrob Resist Infect Control	2047-2994	http://www.aricjournal.com	2011
BioMed Central Ltd	Aquatic Biosystems	Aquat Biosyst	2046-9063	http://www.aquaticbiosystems.org	2005
BioMed Central Ltd	Archives of Public Health	Arch Public Health	0778-7367	http://www.archpublichealth.com	1997
BioMed Central Ltd	Arthritis Research & Therapy	Arthritis Res Ther	1478-6354	http://arthritis-research.com/	1999
BioMed Central Ltd	Asia Pacific Family Medicine	Asia Pac Fam Med	1447-056X	http://www.apfmj.com	2002
BioMed Central Ltd	Australia and New Zealand Health Policy	Aust N Z Health Policy	1743-8462	http://www.anzhealthpolicy.com	2004
BioMed Central Ltd	Automated Experimentation	Autom Exp	1759-4499	http://www.aejournal.net	2009
BioMed Central Ltd	Behavioral and Brain Functions	Behav Brain Funct	1744-9081	http://www.behavioralandbrainfunctions.com	2005
BioMed Central Ltd	BioData Mining	BioData Mining	1756-0381	http://www.biodatamining.org/	2008
BioMed Central Ltd	Biological Procedures Online	Biol Proced Online	1480-9222	http://www.biologicalproceduresonline.com	2009
BioMed Central Ltd	Biology Direct	Biol Direct	1745-6150	http://www.biology-direct.com	2006
BioMed Central Ltd	Biology of Mood & Anxiety Disorders	Biol Mood Anxiety Disord	2045-5380	http://www.biolmoodanxietydisord.com	2011
BioMed Central Ltd	Biology of Sex Differences	Biol sex dif	2042-6410	http://www.bsd-journal.com	2010
BioMed Central Ltd	BioMagnetic Research and Technology	BioMag Res Technol	1477-044X	http://www.biomagres.com	2003
BioMed Central Ltd	Biomedical Digital Libraries	Biomed Digit Libr	1742-5581	http://www.bio-diglib.com	2004
BioMed Central Ltd	BioMedical Engineering OnLine	BioMed Eng OnLine	1475-925X	http://www.biomedical-engineering-online.com	2002
BioMed Central Ltd	BioPsychoSocial Medicine	BioPsychoSocial Med	1751-0759	http://www.bpsmedicine.com	2007
