publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	title_id	coverage_depth	coverage_notes	publisher_name
Acupuncture in medicine	0964-5284 	1759-9873	1982	1	1				http://aim.bmj.com/	acupmed	full text		BMJ Group
BMJ (BMJ.com)		1756-1833	2005	331	7529				http://www.bmj.com	bmj	full text	Career Focus articles not included.	BMJ Group
BMJ (Clinical research ed.) 	0959-8138 	1468-5833	1988	296	6614		331	7528	http://www.bmj.com/	bmj	full text	Career Focus articles not included.	BMJ Group
British medical journal (Clinical research ed.) 	0267-0623		1981	282	6257	1988	296	6639	http://www.bmj.com/	bmj	full text		BMJ Group
British medical journal	0007-1447		1857	1	1	1980	281	6256	http://www.bmj.com/	bmj	full text		BMJ Group
Association medical journal	2041-997X		1853	1	1	1856	4	208	http://www.bmj.com/	bmj	full text		BMJ Group
London journal of medicine	2041-9988		1849	1	1	1852	4	46	http://www.bmj.com/	bmj	full text		BMJ Group
Provincial medical & surgical journal	2041-997X		1844	8	1	1852	16	26	http://www.bmj.com/	bmj	full text		BMJ Group
Prov Med Surg J 	2041-9953		1840	1	1	1842	3	79	http://www.bmj.com/	bmj	full text		BMJ Group
Provincial Medical Journal and Retrospect of the Medical Sciences	2041-9961		1842	4	80	1844	7	182	http://www.bmj.com/	bmj	full text		BMJ Group
Annals of the Rheumatic Diseases	0003-4967 	1468-2060	1939	1	1				http://ard.bmj.com/	annrheumdis	full text		BMJ Group
Archives of disease in childhood	0003-9888 	1468-2044	1926	1	1				http://adc.bmj.com/	archdischild	full text		BMJ Group
Education & Practice	1743-0585 	1743-0593	2004	89	1				http://ep.bmj.com	archdischild	full text		BMJ Group
Fetal & Neonatal	1359-2998 	1468-2052	1994	70	1				http://fn.bmj.com	archdischild	full text		BMJ Group
BMJ Case Reports		1757-790X 	2008						http://casereports.bmj.com/	casereports	full text		BMJ Group
BMJ Open		2044-6055 	2011						http://bmjopen.bmj.com/	bmjopen	full text		BMJ Group
BMJ Quality & Safety	2044-5415	2044-5423	2011						http://qualitysafety.bmj.com/	qhc	full text		BMJ Group
Quality & Safety in Health Care	1475-3898 	1475-3901	2002	11	1	2010	14	6	http://qualitysafety.bmj.com/	qhc	full text		BMJ Group
Quality in health care : QHC.	0963-8172 		1992	1	1	2001	10	4	http://qualitysafety.bmj.com/	qhc	full text		BMJ Group
BMJ Quality Improvement Reports		2050-1315	2012	1	1				http://qir.bmj.com	bmjqir	full text		BMJ Group
BMJ Supportive & Palliative Care	2045-435X	2045-4368	2011						http://spcare.bmj.com/	bmjspcare	full text		BMJ Group
British Journal of Ophthalmology	0007-1161	1468-2079	1917	1	1				http://bjo.bmj.com/	bjophthalmol	full text		BMJ Group
British Journal of Sports Medicine	0306-3674	1473-0480	1969	5	1				http://bjsm.bmj.com/	bjsports	full text		BMJ Group
Bulletin - British Association of Sport and Medicine.	0306-3690 		1964	1	1	1968	3	4	http://bjsm.bmj.com/	bjsports	full text		BMJ Group
Drug and Therapeutics Bulletin	0012-6543 	1755-5248	1963	31	26				http://dtb.bmj.com/	dtb	full text		BMJ Group
The British Edition of the Medical Letter on Drugs and Therapeutics	0543-2766		1962	1	1	1963	1	19	http://dtb.bmj.com/	dtb	full text		BMJ Group
Emergency Medicine Journal 	1472-0205 	1472-0213	2001	18	1				http://emj.bmj.com/	emermed	full text		BMJ Group
Journal of accident & emergency medicine	1351-0622 		1994	11	1	2000	17	1	http://emj.bmj.com/	emermed	full text		BMJ Group
Archives of emergency medicine	0264-4924 		1984	1	1	1993	10	4	http://emj.bmj.com/	emermed	full text		BMJ Group
Evidence-Based Mental Health	1362-0347 	1468-960X 	1998	1	1				http://ebmh.bmj.com/	ebmental	full text		BMJ Group
Evidence-Based Medicine	1356-5524 	1473-6810 	1995	1	1				http://ebm.bmj.com/	ebmed	full text		BMJ Group
Evidence-Based Nursing	1367-6539 	1468-9618 	1998	1	1				http://ebn.bmj.com/	ebnurs	full text		BMJ Group
