Title	ISSN	eISSN	Documentation
Acupuncture in Medicine	0964-5284	1759-9873	http://aim.bmj.com/
Annals of the Rheumatic Diseases	0003-4967	1468-2060	http://ard.bmj.com/
Archives of Disease in Childhood	0003-9888	1468-2044	http://adc.bmj.com/
BMJ Case Reports	x	1757-790X	http://casereports.bmj.com/
BMJ Open	x	2044-6055	http://bmjopen.bmj.com/
BMJ Quality & Safety	2044-5415	2044-5423	http://qualitysafety.bmj.com/
BMJ Quality Improvement Reports	x	2050-1315	http://qir.bmj.com
BMJ Supportive & Palliative Care	2045-435X	2045-4368	http://spcare.bmj.com/
British Journal of Ophthalmology	0007-1161	1468-2079	http://bjo.bmj.com/
British Journal of Sports Medicine	0306-3674	1473-0480	http://bjsm.bmj.com/
Drug and Therapeutics Bulletin	0012-6543	1755-5248	http://dtb.bmj.com/
Education & Practice	1743-0585	1743-0593	http://ep.bmj.com
Emergency Medicine Journal	1472-0205	1472-0213	http://emj.bmj.com/
Evidence-Based Medicine	1356-5524	1473-6810	http://ebm.bmj.com/
Evidence-Based Mental Health	1362-0347	1468-960X	http://ebmh.bmj.com/
Evidence-Based Nursing	1367-6539	1468-9618	http://ebn.bmj.com/
Fetal & Neonatal	1359-2998	1468-2052	http://fn.bmj.com
Frontline Gastroenterology	2041-4137	2041-4145	http://fg.bmj.com/
Gut	0017-5749	1468-3288	http://gut.bmj.com/
Heart	1355-6037	1468-201X	http://heart.bmj.com/
Heart Asia	x	1759-1104	http://heartasia.bmj.com/
In Practice	0263-841X	2042-7689	http://inpractice.bmj.com/
Injury Prevention	1353-8047	1475-5785	http://injuryprevention.bmj.com/
JAMIA	1067-5027	1527-974X	http://jamia.bmj.com/
Journal of Clinical Pathology	0021-9746	1472-4146	http://jcp.bmj.com/
Journal of Epidemiology and Community Health	0143-005X	1470-2738	http://jech.bmj.com/
Journal of Family Planning and Reproductive Health Care	1471-1893	x	http://jfprhc.bmj.com/
Journal of Medical Ethics	0306-6800	1473-4257	http://jme.bmj.com/
Journal of Medical Genetics	0022-2593	1468-6244	http://jmg.bmj.com/
Journal of NeuroInterventional surgery	1759-8478	1759-8486	http://jnis.bmj.com/
Journal of Neurology, Neurosurgery & Psychiatry	0022-3050	1468-330X	http://jnnp.bmj.com/
Medical Humanities	1468-215X	1473-4265	http://mh.bmj.com/
Occupational and Environmental Medicine	1351-0711	1470-7926	http://oem.bmj.com/
Postgraduate Medical Journal	0032-5473	1469-0756	http://pmj.bmj.com/
Practical Neurology	1474-7758	1474-7766	http://pn.bmj.com/
Sexually Transmitted Infections	1368-4973	1472-3263	http://sti.bmj.com/
Student BMJ	0966-6494	x	http://student.bmj.com/
European Journal of Hospital Pharmacy	2047-9956	2047-9964	http://ejhp.bmj.com/
Thorax	0040-6376	1468-3296	http://thorax.bmj.com/
Tobacco Control	0964-4563	1468-3318	http://tobaccocontrol.bmj.com/
Veterinary Record	2042-7670	x	http://veterinaryrecord.bmj.com/
