Title	ISSN	Parent	Format
Acta Astronautica	0094-5765	elsevier-with-titles	numeric
Annals of Anatomy	0940-9602	elsevier-harvard	author-date
Accident Analysis and Prevention	0001-4575	elsevier-harvard	author-date
AASRI Procedia	2212-6716	elsevier-with-titles	numeric
Addictive Behaviors	0306-4603	apa	author-date
Analytica Chimica Acta	0003-2670	elsevier-with-titles	numeric
The Journal of Academic Librarianship	0099-1333	apa	author-date
Academic Pediatrics	1876-2859	american-medical-association	numeric
Journal of International Accounting, Auditing and Taxation	1061-9518	apa	author-date
Journal of Accounting Education	0748-5751	apa	author-date
Accounting Forum	0155-9982	apa	author-date
International Journal of Accounting Information Systems	1467-0895	vancouver-author-date	author-date
Journal of Accounting Literature	0737-4607	apa	author-date
International Journal of Accounting	0020-7063	apa	author-date
Acta Haematologica Polonica	0001-5814	elsevier-vancouver	numeric
Applied Computing and Informatics	2210-8327	elsevier-harvard	author-date
Archives of Civil and Mechanical Engineering	1644-9665	elsevier-with-titles	numeric
Acta Biomaterialia	1742-7061	elsevier-vancouver	numeric
Acta Histochemica	0065-1281	vancouver-author-date	author-date
Acta Oecologica	1146-609X	elsevier-harvard	author-date
Actualités pharmaceutiques	0515-3700	elsevier-vancouver	numeric
Acta Psychologica	0001-6918	apa	author-date
Acta Tropica	0001-706X	elsevier-harvard	author-date
Archives of Cardiovascular Diseases	1875-2136	elsevier-vancouver	numeric
Annales de Chirurgie Vasculaire	0299-2213	elsevier-vancouver	numeric
Additive Manufacturing	2214-8604	elsevier-vancouver	numeric
Advances in Engineering Software	0965-9978	elsevier-vancouver	numeric
Ad Hoc Networks	1570-8705	elsevier-with-titles	numeric
Advances in Accounting, incorporating Advances in International Accounting	0882-6110	apa	author-date
Archives des Maladies Professionnelles et de l'Environnement	1775-8785	elsevier-vancouver	numeric
Advanced Drug Delivery Reviews	0169-409X	elsevier-with-titles	numeric
Advanced Engineering Informatics	1474-0346	elsevier-with-titles	numeric
Advances in Medical Sciences	1896-1126	elsevier-vancouver	numeric
Advances in Water Resources	0309-1708	elsevier-vancouver	numeric
Atmospheric Environment	1352-2310	elsevier-harvard	author-date
Arab Economic and Business Journal	2214-4625	apa	author-date
Alexandria Engineering Journal	1110-0168	elsevier-with-titles	numeric
Aeolian Research	1875-9637	elsevier-harvard	author-date
Annals of Epidemiology	1047-2797	elsevier-vancouver	numeric
Journal of African Earth Sciences	1464-343X	elsevier-harvard	author-date
AEUE - International Journal of Electronics and Communications	1434-8411	elsevier-vancouver	numeric
African Journal of Urology	1110-5704	elsevier-vancouver	numeric
Annales françaises d’oto-rhino-laryngologie et de pathologie cervico-faciale	1879-7261	elsevier-vancouver	numeric
Applied Geochemistry	0883-2927	elsevier-harvard	author-date
Agriculture, Ecosystems and Environment	0167-8809	elsevier-harvard	author-date
Archives of Gerontology and Geriatrics	0167-4943	apa	author-date
Journal of Aging Studies	0890-4065	apa	author-date
Agricultural and Forest Meteorology	0168-1923	elsevier-harvard	author-date
Agricultural Systems	0308-521X	elsevier-harvard	author-date
Agricultural Water Management	0378-3774	elsevier-harvard	author-date
Advances in Digestive Medicine	2351-9797	elsevier-vancouver	numeric
L'aide-soignante	1166-3413	elsevier-vancouver	numeric
Advances in Integrative Medicine	2212-9626	elsevier-vancouver	numeric
The Arts in Psychotherapy	0197-4556	apa	author-date
Arab Journal of Gastroenterology	1687-1979	elsevier-vancouver	numeric
American Journal of Geriatric Pharmacotherapy	1543-5946	american-medical-association	numeric
The American Journal of Human Genetics	0002-9297	elsevier-vancouver	numeric
Asian Journal of Health Sciences	1878-5263	elsevier-with-titles	numeric
The American Journal of Medicine	0002-9343	american-medical-association	numeric
Asian Journal of Psychiatry	1876-2018	elsevier-harvard	author-date
The Asian Journal of Shipping and Logistics	2092-5212	apa	author-date
Alcohol	0741-8329	apa	author-date
Advances in Life Course Research	1040-2608	apa	author-date
Alergologia Polska- Polish Journal of Allergology	2353-3854	elsevier-vancouver	numeric
Algal Research	2211-9264	elsevier-with-titles	numeric
Alter - European Journal of Disability research, Revue européenne de recherche sur le handicap	1875-0672	apa	author-date
Acta Materialia	1359-6454	elsevier-vancouver	numeric
Analytic Methods in Accident Research	2213-6657	elsevier-harvard	author-date
Applied Mathematics and Computation	0096-3003	elsevier-with-titles	numeric
Annales médico-psychologiques	0003-4487	elsevier-vancouver	numeric
Australasian Marketing Journal (AMJ)	1441-3582	elsevier-harvard	author-date
Applied Mathematics Letters	0893-9659	elsevier-with-titles	numeric
Ampersand	2215-0390	vancouver-author-date	author-date
Annals of Medicine and Surgery	2049-0801	elsevier-vancouver	numeric
Annals of Allergy, Asthma & Immunology	1081-1206	american-medical-association	numeric
Annales de cardiologie et d'angéiologie	0003-3928	elsevier-vancouver	numeric
Anthropocene	2213-3054	elsevier-harvard	author-date
Analytical Chemistry Research	2214-1812	elsevier-with-titles	numeric
Annales d'Endocrinologie	0003-4266	elsevier-vancouver	numeric
Annals of Nuclear Energy	0306-4549	elsevier-harvard	author-date
Animal Feed Science and Technology	0377-8401	elsevier-harvard	author-date
Annales de l'Institut Henri Poincaré / Analyse non linéaire	0294-1449	elsevier-with-titles	numeric
Animal Reproduction Science	0378-4320	elsevier-harvard	author-date
Auris Nasus Larynx	0385-8146	elsevier-vancouver	numeric
Annales de Dermatologie et de Vénéréologie	0151-9638	elsevier-vancouver	numeric
Annales Françaises d'Anesthésie et de Réanimation	0750-7658	elsevier-vancouver	numeric
Annales de Paléontologie	0753-3969	elsevier-harvard	author-date
Annales de Pathologie	0242-6498	elsevier-vancouver	numeric
Annales de chirurgie plastique esthétique	0294-1260	elsevier-vancouver	numeric
European Annals of Otorhinolaryngology, Head and Neck diseases	1879-7296	elsevier-vancouver	numeric
Asian Nursing Research	1976-1317	apa	author-date
