Type	Title	Child EISSN	Parent_Title	Parent EISSN	Published_Date	Journal_Id	Journal_DOI	Field	EISSN
Field	Frontiers in Endocrinology	1664-2392	Frontiers in Endocrinology	1664-2392	8/18/10	106	10.3389/endocrin	Endocrinology	1664-2392
Specialty	Frontiers in Diabetes	-	Frontiers in Endocrinology	1664-2392	1/24/12	107	10.3389/endocrin	Endocrinology	1664-2392
Specialty	Frontiers in Pituitary Endocrinology	-	Frontiers in Endocrinology	1664-2392	8/18/10	112	10.3389/endocrin	Endocrinology	1664-2392
Specialty	Frontiers in Neuroendocrine Science	-	Frontiers in Endocrinology	1664-2392	8/18/10	113	10.3389/endocrin	Endocrinology	1664-2392
Specialty	Frontiers in Cancer Endocrinology	-	Frontiers in Endocrinology	1664-2392	8/18/10	116	10.3389/endocrin	Endocrinology	1664-2392
Specialty	Frontiers in Genomic Endocrinology	-	Frontiers in Endocrinology	1664-2392	9/15/10	117	10.3389/endocrin	Endocrinology	1664-2392
Specialty	Frontiers in Molecular and Structural Endocrinology	-	Frontiers in Endocrinology	1664-2392	8/18/10	118	10.3389/endocrin	Endocrinology	1664-2392
Specialty	Frontiers in Cellular Endocrinology	-	Frontiers in Endocrinology	1664-2392	8/18/10	120	10.3389/endocrin	Endocrinology	1664-2392
Specialty	Frontiers in Experimental Endocrinology	-	Frontiers in Endocrinology	1664-2392	3/16/11	121	10.3389/endocrin	Endocrinology	1664-2392
Specialty	Frontiers in Systems and Translational Endocrinology	-	Frontiers in Endocrinology	1664-2392	2/24/11	122	10.3389/endocrin	Endocrinology	1664-2392
Specialty	Frontiers in Pediatric Endocrinology	-	Frontiers in Endocrinology	1664-2392	8/18/10	124	10.3389/endocrin	Endocrinology	1664-2392
Specialty	Frontiers in Endocrinology of Aging	-	Frontiers in Endocrinology	1664-2392	8/18/10	127	10.3389/endocrin	Endocrinology	1664-2392
Specialty	Frontiers in Thyroid Endocrinology	-	Frontiers in Endocrinology	1664-2392	9/7/10	128	10.3389/endocrin	Endocrinology	1664-2392
Specialty	Frontiers in Bone Research	-	Frontiers in Endocrinology	1664-2392	9/15/10	457	-	Endocrinology	1664-2392
Field	Frontiers in Genetics	1664-8021	Frontiers in Genetics	1664-8021	10/21/10	240	10.3389/gene	Genetics	1664-8021
Specialty	Frontiers in Neurogenomics	-	Frontiers in Genetics	1664-8021	7/2/07	19	10.3389/neuro.15	Genetics	1664-8021
Specialty	Frontiers in Livestock Genomics	-	Frontiers in Genetics	1664-8021	10/21/10	241	10.3389/gene	Genetics	1664-8021
Specialty	Frontiers in Genetic Architecture	-	Frontiers in Genetics	1664-8021	10/21/10	453	-	Genetics	1664-8021
Specialty	Frontiers in Statistical Genetics and Methodology	-	Frontiers in Genetics	1664-8021	10/27/10	454	-	Genetics	1664-8021
Specialty	Frontiers in Epigenomics	-	Frontiers in Genetics	1664-8021	10/21/10	455	-	Genetics	1664-8021
Specialty	Frontiers in Nutrigenomics	-	Frontiers in Genetics	1664-8021	10/21/10	456	-	Genetics	1664-8021
Specialty	Frontiers in Evolutionary and Population Genetics	-	Frontiers in Genetics	1664-8021	8/2/11	535	-	Genetics	1664-8021
Specialty	Frontiers in Behavioral and Psychiatric Genetics	-	Frontiers in Genetics	1664-8021	3/8/11	536	-	Genetics	1664-8021
