Title	ISSN	eISSN	Documentation	Category1
Expert Review of Anticancer Therapy	1473-7140	1744-8328	http://www.future-science-group.com/	medicine
Expert Review of Anti-infective Therapy	1478-7210	1744-8336	http://www.future-science-group.com/	medicine
Expert Review of Cardiovascular Therapy	1477-9072	1744-8344	http://www.future-science-group.com/	medicine
Expert Review of Clinical Immunology	1744-666X	1744-8409	http://www.future-science-group.com/	medicine
Expert Review of Clinical Pharmacology	1751-2433	1751-2441	http://www.future-science-group.com/	medicine
Expert Review of Dermatology	1746-9872	1746-9880	http://www.future-science-group.com/	medicine
Expert Review of Endocrinology & Metabolism	1744-6651	1744-8417	http://www.future-science-group.com/	medicine
Expert Review of Gastroenterology & Hepatology	1747-4124	1747-4132	http://www.future-science-group.com/	medicine
Expert Review of Hematology	1747-4086	1747-4094	http://www.future-science-group.com/	medicine
Expert Review of Medical Devices	1743-4440	1745-2422	http://www.future-science-group.com/	medicine
Expert Review of Molecular Diagnostics	1473-7159	1744-8352	http://www.future-science-group.com/	medicine
Expert Review of Neurotherapeutics	1473-7175	1744-8360	http://www.future-science-group.com/	medicine
Expert Review of Obstetrics & Gynecology	1747-4108	1747-4116	http://www.future-science-group.com/	medicine
Expert Review of Ophthalmology	1746-9899	1746-9902	http://www.future-science-group.com/	medicine
Expert Review of Pharmacoeconomics & Outcomes Research	1473-7167	1744-8379	http://www.future-science-group.com/	medicine
Expert Review of Proteomics	1478-9450	1744-8387	http://www.future-science-group.com/	medicine
Expert Review of Respiratory Medicine	1747-6348	1747-6356	http://www.future-science-group.com/	medicine
Expert Review of Vaccines	1476-0584	1744-8395	http://www.future-science-group.com/	medicine
Aging Health	1745-509X	1745-5103	http://www.future-science-group.com/	medicine
Biomarkers in Medicine	1752-0363	1752-0371	http://www.futuremedicine.com/loi/bmm	medicine
Breast Cancer Management	1758-1923	1758-1931	http://www.futuremedicine.com/loi/bmt	medicine
Colorectal Cancer	1758-194X	1758-1958	http://www.future-science-group.com/	medicine
Comparative Effectiveness Research	2042-6305	2042-6313	http://www.future-science-group.com/	medicine
Clinical Lipidology	1758-4299	1758-4302	http://www.future-science-group.com/	medicine
Clinical Practice	1475-0708	1744-831X	http://www.future-science-group.com/	medicine
Diabetes Management	1758-1907	1758-1915	http://www.future-science-group.com/	medicine
Epigenomics	1750-1911	1750-192X	http://www.future-science-group.com/	medicine
Future Cardiology	1479-6678	1744-8298	http://www.future-science-group.com/	medicine
Future Microbiology	1746-0913	1746-0921	http://www.future-science-group.com/	medicine
Future Neurology	1479-6708	1748-6971	http://www.future-science-group.com/	medicine
Future Oncology	1479-6694	1744-8301	http://www.future-science-group.com/	medicine
Future Virology	1746-0794	1746-0808	http://www.future-science-group.com/	medicine
Imaging in Medicine	1755-5191	1755-5205	http://www.future-science-group.com/	medicine
Immunotherapy	1750-743X	1750-7448	http://www.future-science-group.com/	medicine
International Journal of Clinical Rheumatology	1758-4272	1758-4280	http://www.future-science-group.com/	medicine
Interventional Cardiology	1755-5302	1755-5310	http://www.future-science-group.com/	medicine
Lung Cancer Management	1758-1966	1758-1974	http://www.future-science-group.com/	medicine
Nanomedicine	1743-5889	1748-6963	http://www.future-science-group.com/	medicine
Neurodegenerative Disease Management	1758-2024	1758-2032	http://www.future-science-group.com/	medicine
Neuropsychiatry	1758-2008	1758-2016	http://www.future-science-group.com/	medicine
Pain Management	1758-1869	1758-1877	http://www.future-science-group.com/	medicine
Personalized Medicine	1741-0541	1744-828X	http://www.future-science-group.com/	medicine
Pharmacogenomics	1462-2416	1744-8042	http://www.future-science-group.com/	medicine
Regenerative Medicine	1746-0751	1746-076X	http://www.future-science-group.com/	medicine
Women's Health	1745-5057	1745-5056	http://www.future-science-group.com/	medicine
CNS Oncology	x	x	http://www.future-science-group.com/	medicine
International Journal of Hematologic Oncology	x	x	http://www.future-science-group.com/	medicine
Bioanalysis	1757-6180	1757-6199	http://www.future-science.com/loi/bio	biology
Biofuels	1759-7269	1759-7277	http://www.future-science.com/loi/bfs	biology
Carbon Management	1758-3004	1758-3012	http://www.future-science.com/loi/cmt	science
Clinical Investigation	2041-6792	2041-6806	http://www.future-science-group.com/	medicine
Future Medicinal Chemistry	1756-8919	1756-8927	http://www.future-science-group.com/	medicine
Therapeutic Delivery	2041-5990	2041-6008	http://www.future-science-group.com/	medicine
Pharmaceutical Patent Analyst	2048-9145	2046-8962	http://www.future-science.com/loi/ppa	medicine
Pharmaceutical Bioprocessing	x	x	http://www.future-science-group.com/	medicine
