Title	ISSN	Field	Field2	Documentation
Applied Physics Letters	0003-6951	physics	x	http://ieeexplore.ieee.org/servlet/opac?punumber=4816218
Bell Labs Technical Journal	1089-7089	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=6731002
Canadian Journal of Electrical and Computer Engineering	0840-8688	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=9754
China Communications	1673-5447	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=6245522
Computer	0018-9162	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=2
Computer Architecture Letters	1556-6056	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=10208
Computing in Science & Engineering	1521-9615	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=5992
Control & Automation	0956-3385	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=4469873
Electronics Letters	0013-5194	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=2220
Engineering & Technology	1750-9637	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=10908
Engineering Management Journal	0960-7919	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=2221
IBM Journal of Research and Development	0018-8646	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=5288520
IEEE Access	2169-3536	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=6287639
IEEE Aerospace and Electronic Systems Magazine	0885-8985	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=62
IEEE Annals of the History of Computing	1058-6180	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=85
IEEE Antennas and Propagation Magazine	1045-9243	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=74
IEEE Antennas and Wireless Propagation Letters	1536-1225	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=7727
IEEE Circuits and Systems Magazine	1531-636X	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=7384
IEEE Communications Letters	1089-7798	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=4234
IEEE Communications Magazine	0163-6804	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=35
IEEE Communications Surveys & Tutorials	1553-877X	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=9739
IEEE Computational Intelligence Magazine	1556-603X	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=10207
IEEE Computer Graphics and Applications	0272-1716	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=38
IEEE Consumer Electronics Magazine	2162-2248	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=5962380
IEEE Control Systems	1066-033X	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=5488303
IEEE Design & Test	2168-2356	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=6221038
IEEE Electrical Insulation Magazine	0883-7554	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=57
IEEE Electrification Magazine	2325-5897	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=6508996
IEEE Electromagnetic Compatibility Magazine	2162-2264	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=5962381
IEEE Electron Device Letters	0741-3106	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=55
IEEE Embedded Systems Letters	1943-0663	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=4563995
IEEE Engineering Management Review	0360-8581	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=46
IEEE Geoscience and Remote Sensing Letters	1545-598X	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=8859
IEEE Geoscience and Remote Sensing Magazine	2168-6831	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=6245518
IEEE Industrial Electronics Magazine	1932-4529	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=4154573
IEEE Industry Applications Magazine	1077-2618	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=2943
IEEE Instrumentation & Measurement Magazine	1094-6969	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=5289
IEEE Intelligent Systems	1541-1672	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=9670
IEEE Intelligent Transportation Systems Magazine	1939-1390	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=5117645
IEEE Internet Computing	1089-7801	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=4236
IEEE Internet of Things Journal	2327-4662	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=6488907
