Title	ISSN	eISSN	Format	Parent	Documentation
Advances in Natural Sciences: Nanoscience and Nanotechnology		2043-6262	numeric	institute-of-physics-numeric	http://iopscience.iop.org/2043-6262
Biofabrication	1758-5082	1758-5090	numeric	institute-of-physics-numeric	http://iopscience.iop.org/1758-5090
Bioinspiration & Biomimetics	1748-3182	1748-3190	numeric	institute-of-physics-numeric	http://iopscience.iop.org/1748-3190
Biomedical Materials	1748-6041	1748-605X	numeric	institute-of-physics-numeric	http://iopscience.iop.org/1748-605X
Chinese Physics B	1674-1056		numeric	institute-of-physics-numeric	http://iopscience.iop.org/1674-1056
Chinese Physics C	1674-1137		numeric	institute-of-physics-numeric	http://iopscience.iop.org/1674-1137
Chinese Physics Letters	0256-307X	1741-3540	numeric	institute-of-physics-numeric	http://iopscience.iop.org/0256-307X
Classical and Quantum Gravity	0264-9381	1361-6382	numeric	institute-of-physics-numeric	http://iopscience.iop.org/0264-9381
Communications in Theoretical Physics	0253-6102		numeric	institute-of-physics-numeric	http://iopscience.iop.org/0253-6102
Computational Science & Discovery	1749-4680	1749-4699	numeric	institute-of-physics-numeric	http://iopscience.iop.org/1749-4699
EPL (Europhysics Letters)	0295-5075	1286-4854	numeric	institute-of-physics-numeric	http://iopscience.iop.org/0295-5075
Environmental Research Letters		1748-9326	author-date	institute-of-physics-harvard	http://iopscience.iop.org/1748-9326
European Journal of Physics	0143-0807	1361-6404	numeric	institute-of-physics-numeric	http://iopscience.iop.org/0143-0807
Fluid Dynamics Research	0169-5983	1873-7005	numeric	institute-of-physics-numeric	http://iopscience.iop.org/1873-7005
IOP Conference Series: Earth and Environmental Science	1755-1307	1755-1315	numeric	institute-of-physics-numeric	http://iopscience.iop.org/1755-1315
IOP Conference Series: Materials Science and Engineering	1757-8981	1757-899X	numeric	institute-of-physics-numeric	http://iopscience.iop.org/1757-899X
Inverse Problems	0266-5611	1361-6420	numeric	institute-of-physics-numeric	http://iopscience.iop.org/0266-5611
Izvestiya: Mathematics	1064-5632	1468-4810	numeric	institute-of-physics-numeric	http://iopscience.iop.org/1064-5632
Journal of Breath Research	1752-7155	1752-7163	numeric	institute-of-physics-numeric	http://iopscience.iop.org/1752-7163
Journal of Cosmology and Astroparticle Physics		1475-7516	numeric	institute-of-physics-numeric	http://iopscience.iop.org/1475-7516
Journal of Geophysics and Engineering	1742-2132	1742-2140	numeric	institute-of-physics-numeric	http://iopscience.iop.org/1742-2140
Journal of Instrumentation		1748-0221	numeric	institute-of-physics-numeric	http://iopscience.iop.org/1748-0221
Journal of Micromechanics and Microengineering	0960-1317	1361-6439	numeric	institute-of-physics-numeric	http://iopscience.iop.org/0960-1317
Journal of Neural Engineering	1741-2560	1741-2552	numeric	institute-of-physics-numeric	http://iopscience.iop.org/1741-2552
Journal of Optics	2040-8978	2040-8986	numeric	institute-of-physics-numeric	http://iopscience.iop.org/2040-8986
Journal of Physics A: Mathematical and Theoretical	1751-8113	1751-8121	numeric	institute-of-physics-numeric	http://iopscience.iop.org/1751-8121
Journal of Physics B: Atomic, Molecular and Optical Physics	0953-4075	1361-6455	numeric	institute-of-physics-numeric	http://iopscience.iop.org/0953-4075
Journal of Physics D: Applied Physics	0022-3727	1361-6463	numeric	institute-of-physics-numeric	http://iopscience.iop.org/0022-3727
Journal of Physics G: Nuclear and Particle Physics	0954-3899	1361-6471	numeric	institute-of-physics-numeric	http://iopscience.iop.org/0954-3899
Journal of Physics: Condensed Matter	0953-8984	1361-648X	numeric	institute-of-physics-numeric	http://iopscience.iop.org/0953-8984
Journal of Physics: Conference Series	1742-6588	1742-6596	numeric	institute-of-physics-numeric	http://iopscience.iop.org/1742-6596
