Title	ISSN	eISSN	Documentation	Field	Field2	Parent	Format
Journal of Investigative Dermatology Symposium Proceedings	1087-0024	1529-1774	http://www.nature.com/jidsp/author_instructions.html#Manuscript-preparation	biology	medicine	journal-of-investigative-dermatology	author-date
Lab Animal	0093-7355	1548-4475	http://www.labanimal.com/laban/authors/index.html#format	biology	medicine	nature	numeric
Molecular Systems Biology	x	1744-4292	http://msb.embopress.org/authorguide#a3.4.5	biology	medicine	the-embo-journal	author-date
Molecular Therapy - Nucleic Acids	x	2162-2531	http://www.nature.com/mtna/guide_for_authors.pdf	biology	medicine	molecular-therapy	numeric
Nature Biotechnology	1087-0156	1546-1696	http://www.nature.com/nbt/pdf/gta.pdf	biology		nature	numeric
Nature Cell Biology	1465-7392	1476-4679	http://www.nature.com/ncb/pdf/ncb_gta.pdf	biology	medicine	nature	numeric
Nature Chemical Biology	1552-4450	1552-4469	http://www.nature.com/nchembio/pdf/nchembio_gta.pdf	biology	chemistry	nature	numeric
Nature Chemistry	1755-4330	1755-4349	http://www.nature.com/nchem/authors/submit.html#References	chemistry		nature	numeric
Nature Climate Change	1758-678X	1758-6798	http://www.nature.com/nclimate/pdf/guide-for-authors.pdf	biology	geography	nature	numeric
Nature Communications	x	2041-1723	http://www.nature.com/ncomms/authors/submit.html#References	science		nature	numeric
Nature Genetics	1061-4036	1546-1718	http://www.nature.com/ng/pdf/gta.pdf	biology	medicine	nature	numeric
Nature Geoscience	1752-0894	1752-0908	http://www.nature.com/ngeo/authors/how_submit.html#References	geography		nature	numeric
Nature Immunology	1529-2908	1529-2916	http://www.nature.com/ni/pdf/gta.pdf	biology	medicine	nature	numeric
Nature Materials	1476-1122	1476-4660	http://www.nature.com/nmat/authors/submit/index.html#references	physics	chemistry	nature	numeric
Nature Medicine	1078-8956	1546-170X	http://www.nature.com/nm/pdf/gta.pdf	biology	medicine	nature	numeric
Nature Methods	1548-7091	1548-7105	http://www.nature.com/nmeth/pdf/gta.pdf	biology	medicine	nature	numeric
Nature Nanotechnology	1748-3387	1748-3395	http://www.nature.com/nnano/authors/submit/index.html#References	physics	chemistry	nature	numeric
Nature Neuroscience	1097-6256	1546-1726	http://www.nature.com/neuro/authors/submit/index.html	biology	medicine	nature	numeric
Nature Photonics	1749-4885	1749-4893	http://www.nature.com/nphoton/authors/submit/index.html#References	physics		nature	numeric
Nature Physics	1745-2473	1745-2481	http://www.nature.com/nphys/authors/submit/index.html#References	physics		nature	numeric
Nature Protocols	1754-2189	1750-2799	http://www.nature.com/nprot/info/gta.html	science	biology	nature	numeric
Nature Reviews Cancer	1474-175X	1474-1768	http://mts-nrc.nature.com/cgi-bin/main.plex?form_type=display_auth_instructions	biology	medicine	nature	numeric
Nature Reviews Cardiology	1759-5002	1759-5010	http://www.nature.com/nrcardio/info/guide_reviews.html#ManuscriptPreparation	biology	medicine	nature	numeric
Nature Reviews Clinical Oncology	1759-4774	1759-4782	http://www.nature.com/nrclinonc	biology	medicine	nature	numeric
Nature Reviews Drug Discovery	1474-1776	1474-1784	http://www.nature.com/nrd	biology	medicine	nature	numeric
Nature Reviews Endocrinology	1759-5029	1759-5037	http://www.nature.com/nrendo	biology	medicine	nature	numeric
Nature Reviews Gastroenterology & Hepatology	1759-5045	1759-5053	http://www.nature.com/nrgastro	biology	medicine	nature	numeric
Nature Reviews Genetics	1471-0056	1471-0064	http://www.nature.com/nrg	biology	medicine	nature	numeric
Nature Reviews Immunology	1474-1733	1474-1741	http://www.nature.com/nri	biology	medicine	nature	numeric
Nature Reviews Microbiology	1740-1526	1740-1534	http://www.nature.com/nrmicro	biology	medicine	nature	numeric
Nature Reviews Molecular Cell Biology	1471-0072	1471-0080	http://www.nature.com/nrm	biology	medicine	nature	numeric
Nature Reviews Nephrology	1759-5061	1759-507X	http://www.nature.com/nrneph	biology	medicine	nature	numeric
Nature Reviews Neurology	1759-4758	1759-4766	http://www.nature.com/nrneurol	biology	medicine	nature	numeric
