Title	ISSN	eISSN	Years	URL
Analyst	0003-2654	1364-5528	1997-2012	http://xlink.rsc.org/?genre=journal&issn=1364-5528
Analytical Abstracts	0003-2689	1471-7107	1997-2012	http://www.rsc.org/aa
Analytical Communications	x	x	1996-1999	http://pubs.rsc.org/en/journals/journalissues/ac
Analytical Methods	1759-9660	1759-9679	2009-2012	http://xlink.rsc.org/?genre=journal&issn=1759-9679
Analytical Proceedings	x	x	1980-1993	http://pubs.rsc.org/en/journals/journalissues/ap
Analytical Proceedings including Analytical Communications	x	x	1994-1995	http://pubs.rsc.org/en/journals/journalissues/ai
Annual Reports on Analytical Atomic Spectroscopy	x	x	1971-1984	http://pubs.rsc.org/en/journals/journalissues/aa
Annual Reports on the Progress of Chemistry	x	x	1904-1966	http://pubs.rsc.org/en/journals/journalissues/ar
Annual Reports Section A - Inorganic Chemistry	0260-1818	1460-4760	1997-2012	http://xlink.rsc.org/?genre=journal&issn=1460-4760
Annual Reports Section B - Organic Chemistry	0069-3030	1460-4779	1997-2012	http://xlink.rsc.org/?genre=journal&issn=1460-4779
Annual Reports Section C - Physical Chemistry	0260-1826	1460-4787	1997-2012	http://xlink.rsc.org/?genre=journal&issn=1460-4787
Biomaterials Science	x	x	2012	http://pubs.rsc.org/en/journals/journalissues/bm
Catalysis Science & Technology	2044-4753	2044-4761	2011-2012	http://xlink.rsc.org/?genre=journal&issn=2044-4761
Catalysts & Catalysed Reactions	1474-9173	1474-9181	2002-2012	http://www.rsc.org/catalysts
Chemical Communications	1359-7345	1364-548X	1997-2012	http://xlink.rsc.org/?genre=journal&issn=1364-548X
Chemical Communications (London)	x	x	1965-1968	http://pubs.rsc.org/en/journals/journalissues/c1
Chemical Hazards in Industry	0265-5721	1476-3907	1997-2012	http://www.rsc.org/chi
Chemical Science	2041-6520	2041-6539	2010-2012	http://xlink.rsc.org/?genre=journal&issn=2041-6539
Chemical Society Reviews	0306-0012	1460-4744	1998-2012	http://xlink.rsc.org/?genre=journal&issn=1460-4744
Chemistry Education: Research and Practice	1109-4028	x	2000-2012	http://pubs.rsc.org/en/journals/journalissues/rp
Chemistry World	1473-7604	1749-5318	2005-2012	http://xlink.rsc.org/?genre=journal&issn=1749-5318
Contemporary Organic Synthesis	x	x	1994-1997	http://pubs.rsc.org/en/journals/journalissues/co
CrystEngComm	x	1466-8033	1999-2012	http://xlink.rsc.org/?genre=journal&issn=1466-8033
Dalton Transactions	1477-9226	1477-9234	1997-2012	http://xlink.rsc.org/?genre=journal&issn=1477-9234
Discussions of the Faraday Society	x	x	1947-1971	http://pubs.rsc.org/en/journals/journalissues/df
Education in Chemistry	0013-1350	1479-5326	2004-2012	http://xlink.rsc.org/?genre=journal&issn=1749-5326
Energy & Environmetnal Science	1754-5692	1754-5706	2008-2012	http://xlink.rsc.org/?genre=journal&issn=1754-5706
Faraday Discussions	1359-6640	1364-5498	1997-2012	http://xlink.rsc.org/?genre=journal&issn=1359-6640
Faraday Discussions of the Chemical Society	x	x	1972-1991	http://pubs.rsc.org/en/journals/journalissues/df
Faraday Special Discussions of the Chemical Society	x	x	1972-1972	http://pubs.rsc.org/en/journals/journalissues/s1
Faraday Symposia of the Chemical Society	x	x	1972-1984	http://pubs.rsc.org/en/journals/journalissues/fs
Food & Function	2042-6496	2042-650X	2010-2012	http://xlink.rsc.org/?genre=journal&issn=2042-650X
Geochemical Transactions	x	x	2000-2003	http://pubs.rsc.org/en/journals/journalissues/gt
Green Chemistry	1463-9262	1463-9270	1999-2012	http://xlink.rsc.org/?genre=journal&issn=1463-9270
Integrative Biology	1757-9694	1757-9708	2009-2012	http://xlink.rsc.org/?genre=journal&issn=1757-9708
Issues in Environmental Science & Technology	1350-7583	1465-1874	-	http://ebook.rsc.org/?DOI=10.1039/1350-7583
Journal and Proceedings of the Institute of Chemistry of Great Britain and Ireland	x	x	1920-1943	http://pubs.rsc.org/en/journals/journalissues/jg
Journal and Proceedings of the Royal Institute of Chemistry	x	x	1949-1949	http://pubs.rsc.org/en/journals/journalissues/jp
Journal and Proceedings of the Royal Institute of Chemistry of Great Britain and Ireland	x	x	1944-1948	http://pubs.rsc.org/en/journals/journalissues/rg
Journal of Analytical Atomic Spectrometry	0267-9477	1364-5544	1997-2012	http://xlink.rsc.org/?genre=journal&issn=1364-5544
Journal of Environmental Monitoring	1464-0325	1464-0333	1999-2012	http://xlink.rsc.org/?genre=journal&issn=1464-0333
Journal of Materials Chemistry	0959-9428	1364-5501	1997-2012	http://xlink.rsc.org/?genre=journal&issn=1364-5501
