Title	TitleShort	ISSN	EISSN	Parent	Format	Field	Language	Documentation	Springer id
Der Anaesthesist	Anaesthesist	0003-2417	1432-055X	springer-fachzeitschriften-medizin-psychologie	numeric	medicine	German	http://www.springer.com/medicine/anesthesiology/journal/101?detailsPage=pltci_2397481	101
Arthroskopie	Arthroskopie	0933-7946	1434-3924	springer-fachzeitschriften-medizin-psychologie	numeric	medicine	German	http://www.springer.com/medicine/orthopedics/journal/142?detailsPage=pltci_1300626	142
best practice onkologie	best practice onkologie	0946-4565	1862-8559	springer-fachzeitschriften-medizin-psychologie	numeric	medicine	German	http://www.springer.com/medicine/oncology/journal/11654?detailsPage=pltci_1288034	11654
Bundesgesundheitsblatt - Gesundheitsforschung - Gesundheitsschutz	Bundesgesundheitsblatt Gesundheitsforschung Gesundheitsschutz	1436-9990	1437-1588	springer-fachzeitschriften-medizin-psychologie	numeric	medicine	German	http://www.springer.com/medicine/journal/103?detailsPage=pltci_1426209	103
Der Chirurg	Chirurg	0009-4722	1433-0385	springer-fachzeitschriften-medizin-psychologie	numeric	medicine	German	http://www.springer.com/medicine/surgery/journal/104?detailsPage=pltci_1286709	104
coloproctology	coloproctology	0174-2442	1615-6730	springer-fachzeitschriften-medizin-psychologie	numeric	medicine	German	http://www.springer.com/medicine/surgery/journal/53?detailsPage=pltci_1487009	53
der junge zahnarzt	der junge zahnarzt	1869-5744	1869-5752	springer-fachzeitschriften-medizin-psychologie	numeric	medicine	German	http://www.springer.com/medicine/dentistry/journal/13279?detailsPage=pltci_2433517	13279
Der Diabetologe	Diabetologe	1860-9716	1860-9724	springer-fachzeitschriften-medizin-psychologie	numeric	medicine	German	http://www.springer.com/medicine/internal/journal/11428?detailsPage=pltci_1843427	11428
Forum	Forum	0947-0255	2190-9784	springer-fachzeitschriften-medizin-psychologie	numeric	medicine	German	http://www.springer.com/medicine/oncology/journal/12312?detailsPage=pltci_2424946	12312
Der Freie Zahnarzt	Freie Zahnarzt	0340-1766	2190-3824	springer-fachzeitschriften-medizin-psychologie	numeric	medicine	German	http://www.springer.com/medicine/dentistry/journal/12614?detailsPage=pltci_1422508	12614
Der Gastroenterologe	Gastroenterologe	1861-9681	1861-969X	springer-fachzeitschriften-medizin-psychologie	numeric	medicine	German	http://www.springer.com/medicine/internal/journal/11377?detailsPage=pltci_1386510	11377
Gefässchirurgie	Gefässchirurgie	0948-7034	1434-3932	springer-fachzeitschriften-medizin-psychologie	numeric	medicine	German	http://www.springer.com/medicine/surgery/journal/772?detailsPage=pltci_1288075	772
Der Gynäkologe	Gynäkologe	0017-5994	1433-0393	springer-fachzeitschriften-medizin-psychologie	numeric	medicine	German	http://www.springer.com/medicine/gynecology/journal/129?detailsPage=pltci_1871909	129
Gynäkologische Endokrinologie	Gynäkologische Endokrinologie	1610-2894	1610-2908	springer-fachzeitschriften-medizin-psychologie	numeric	medicine	German	http://www.springer.com/medicine/gynecology/journal/10304?detailsPage=pltci_1750753	10304
Der Hautarzt	Hautarzt	0017-8470	1432-1173	springer-fachzeitschriften-medizin-psychologie	numeric	medicine	German	http://www.springer.com/medicine/dermatology/journal/105?detailsPage=pltci_1908811	105
Herzschrittmachertherapie + Elektrophysiologie	Herzschrittmachertherapie Elektrophysiologie	0938-7412	1435-1544	springer-fachzeitschriften-medizin-psychologie	numeric	medicine	German	http://www.springer.com/medicine/cardiology/journal/399?detailsPage=pltci_1381409	399
HNO	HNO	0017-6192	1433-0458	springer-fachzeitschriften-medizin-psychologie	numeric	medicine	German	http://www.springer.com/medicine/otorhinolaryngology/journal/106?detailsPage=pltci_1865911	106
Der Internist	Internist	0020-9554	1432-1289	springer-fachzeitschriften-medizin-psychologie	numeric	medicine	German	http://www.springer.com/medicine/internal/journal/108?detailsPage=pltci_1294427	108
Journal für Ästhetische Chirurgie	Journal Ästhetische Chirurgie	1867-4305	1867-4313	springer-fachzeitschriften-medizin-psychologie	numeric	medicine	German	http://www.springer.com/medicine/surgery/journal/12631?detailsPage=pltci_1750803	12631
Der Kardiologe	Kardiologe	1864-9718	1864-9726	springer-fachzeitschriften-medizin-psychologie	numeric	medicine	German	http://www.springer.com/medicine/internal/journal/12181?detailsPage=pltci_1300027	12181
Manuelle Medizin	Manuelle Medizin	0025-2514	1433-0466	springer-fachzeitschriften-medizin-psychologie	numeric	medicine	German	http://www.springer.com/medicine/journal/337?detailsPage=pltci_1697909	337
medizinische genetik	medizinische genetik	0936-5931	1863-5490	springer-fachzeitschriften-medizin-psychologie	numeric	medicine	German	http://www.springer.com/medicine/gynecology/journal/11825?detailsPage=pltci_1386224	11825
Medizinische Klinik - Intensivmedizin und Notfallmedizin	Medizinische Klinik Intensivmedizin Notfallmedizin	2193-6218	2193-6226	springer-fachzeitschriften-medizin-psychologie	numeric	medicine	German	http://www.springer.com/medicine/internal/journal/63?detailsPage=pltci_1834608	63
Der MKG-Chirurg	MKG-Chirurg	1865-9659	1865-9667	springer-fachzeitschriften-medizin-psychologie	numeric	medicine	German	http://www.springer.com/medicine/surgery/journal/12285?detailsPage=pltci_1422710	12285
Monatsschrift Kinderheilkunde	Monatsschrift Kinderheilkunde	0026-9298	1433-0474	springer-fachzeitschriften-medizin-psychologie	numeric	medicine	German	http://www.springer.com/medicine/pediatrics/journal/112?detailsPage=pltci_1892629	112
Der Nephrologe	Nephrologe	1862-040X	1862-0418	springer-fachzeitschriften-medizin-psychologie	numeric	medicine	German	http://www.springer.com/medicine/nephrology/journal/11560?detailsPage=pltci_1750408	11560
Der Nervenarzt	Nervenarzt	0028-2804	1433-0407	springer-fachzeitschriften-medizin-psychologie	numeric	medicine	German	http://www.springer.com/medicine/journal/115?detailsPage=pltci_1299809	115
Notfall +  Rettungsmedizin	Notfall Rettungsmedizin	1434-6222	1436-0578	springer-fachzeitschriften-medizin-psychologie	numeric	medicine	German	http://www.springer.com/medicine/critical+care+and+emergency+medicine/journal/10049?detailsPage=pltci_2531731	10049
Obere Extremität	Obere Extremität	1862-6599	1862-6602	springer-fachzeitschriften-medizin-psychologie	numeric	medicine	German	http://www.springer.com/medicine/orthopedics/journal/11678?detailsPage=pltci_2428554	11678
Der Onkologe	Onkologe	0947-8965	1433-0415	springer-fachzeitschriften-medizin-psychologie	numeric	medicine	German	http://www.springer.com/medicine/oncology/journal/761?detailsPage=pltci_1285712	761
Operative Orthopädie und Traumatologie	Operative Orthopädie Traumatologie	0934-6694	1439-0981	springer-fachzeitschriften-medizin-psychologie	numeric	medicine	German	http://www.springer.com/medicine/orthopedics/journal/64?detailsPage=pltci_1661227	64
Der Ophthalmologe	Ophthalmologe	0941-293X	1433-0423	springer-fachzeitschriften-medizin-psychologie	numeric	medicine	German	http://www.springer.com/medicine/ophthalmology/journal/347?detailsPage=pltci_1288428	347
Der Orthopäde	Orthopäde	0085-4530	1433-0431	springer-fachzeitschriften-medizin-psychologie	numeric	medicine	German	http://www.springer.com/medicine/orthopedics/journal/132?detailsPage=pltci_1380934	132
Der Pathologe	Pathologe	0172-8113	1432-1963	springer-fachzeitschriften-medizin-psychologie	numeric	medicine	German	http://www.springer.com/medicine/pathology/journal/292?detailsPage=pltci_1288444	292
Der Pneumologe	Pneumologe	1613-5636	1613-6055	springer-fachzeitschriften-medizin-psychologie	numeric	medicine	German	http://www.springer.com/medicine/internal/journal/10405?detailsPage=pltci_1843409	10405
Prävention und Gesundheitsförderung	Prävention Gesundheitsförderung	1861-6755	1861-6763	springer-fachzeitschriften-medizin-psychologie	numeric	medicine	German	http://www.springer.com/medicine/health+informatics/journal/11553?detailsPage=pltci_2424431	11553
Psychotherapeut	Psychotherapeut	0935-6185	1432-2080	springer-fachzeitschriften-medizin-psychologie	numeric	medicine	German	http://www.springer.com/psychology/psychology+general/journal/278?detailsPage=pltci_1754309	278
Der Radiologe	Radiologe	0033-832X	1432-2102	springer-fachzeitschriften-medizin-psychologie	numeric	medicine	German	http://www.springer.com/medicine/radiology/journal/117?detailsPage=pltci_1290110	117
Rechtsmedizin	Rechtsmedizin	0937-9819	1434-5196	springer-fachzeitschriften-medizin-psychologie	numeric	medicine	German	http://www.springer.com/medicine/journal/194?detailsPage=pltci_1301191	194
Der Schmerz	Schmerz	0932-433X	1432-2129	springer-fachzeitschriften-medizin-psychologie	numeric	medicine	German	http://www.springer.com/medicine/journal/482?detailsPage=pltci_1750609	482
Somnologie - Schlafforschung und Schlafmedizin	Somnologie Schlafforschung Schlafmedizin	1432-9123	1439-054X	springer-fachzeitschriften-medizin-psychologie	numeric	medicine	German	http://www.springer.com/medicine/neurology/journal/11818?detailsPage=pltci_1380227	11818
Stomatologie	Stomatologie	0946-3151	1613-7698	springer-fachzeitschriften-medizin-psychologie	numeric	medicine	German	http://www.springer.com/medicine/dentistry/journal/715?detailsPage=pltci_2412168	715
