Title	TitleShort	ISSN	EISSN	Parent	Format	Field	Locale
Aging Clinical and Experimental Research			1720-8319	springer-basic-brackets	numeric		en-US
Analytical and Bioanalytical Chemistry	Anal Bioanal Chem	1618-2642	1618-2650	springer-basic-brackets-no-et-al	numeric	science	en-US
Applied Microbiology and Biotechnology	Appl Microbiol Biotechnol	0175-7598	1432-0614	springer-basic-author-date-no-et-al	author-date	science	en-US
Basic Research in Cardiology	Basic Res Cardiol	0300-8428	1435-1803	springer-basic-brackets-no-et-al-alphabetical	numeric	science	en-US
DECISION - Indian Institute of Management Calcutta		0304-0941	2197-1722	springer-basic-author-date	author-date		en-US
EcoHealth	Ecohealth	1612-9202	1612-9210	springer-basic-author-date-no-et-al	author-date	science	en-US
European Journal of Epidemiology	Eur J Epidemiol	0393-2990	1573-7284	springer-vancouver-brackets	numeric	medicine	en-US
History and Philosophy of the Life Sciences		0391-9714	1742-6316	springer-socpsych-author-date	author-date		en-US
Plant Ecology	Plant Ecol	1385-0237	1573-5052	springer-basic-author-date-no-et-al	author-date	science	en-US
Springer Science Reviews	Springer Science Reviews		2213-7793	springer-basic-brackets	numeric	science	en-US
Surgical Endoscopy	Surg Endosc	0930-2794	1432-2218	springer-basic-brackets-no-et-al	numeric	science	en-US
