Title	TitleShort	ISSN	EISSN	Parent	Format	Field	Locale
Journal für Verbraucherschutz und Lebensmittelsicherheit (German)	J. Verbr. Lebensm.	1661-5751	1661-5867	springer-basic-author-date	author-date	science	de-DE
Archivum Immunologiae et Therapiae Experimentalis	Arch. Immunol. Ther. Exp.	0004-069X	1661-4917	springer-basic-author-date	author-date	science	en-US
Mediterranean Journal of Mathematics		1660-5446	1660-5454	springer-mathphys-brackets	numeric		en-US
Aequationes mathematicae	Aequat. Math.	0001-9054	1420-8903	springer-mathphys-brackets	numeric	science	en-US
Inflammation Research	Inflamm. Res.	1023-3830	1420-908X	springer-vancouver-brackets	numeric	medicine	en-US
Algebra universalis	Algebra Univers.	0002-5240	1420-8911	springer-mathphys-brackets	numeric	science	en-US
Swiss Journal of Geosciences	Swiss J Geosci	1661-8726	1661-8734	springer-socpsych-author-date	author-date	psychology	en-US
Cellular and Molecular Life Sciences	Cell. Mol. Life Sci.	1420-682X	1420-9071	springer-basic-brackets	numeric	science	en-US
Integral Equations and Operator Theory	Integr. Equ. Oper. Theory	0378-620X	1420-8989	springer-mathphys-brackets	numeric	science	en-US
Journal of Mathematical Fluid Mechanics	J. Math. Fluid Mech.	1422-6928	1422-6952	springer-mathphys-brackets	numeric	science	en-US
Journal of Geometry	J. Geom.	0047-2468	1420-8997	springer-mathphys-brackets	numeric	science	en-US
Annales Henri Poincaré	Ann. Henri Poincaré	1424-0637	1424-0661	springer-mathphys-brackets	numeric	science	en-US
Results in Mathematics	Results. Math.	1422-6383	1420-9012	springer-mathphys-brackets	numeric	science	en-US
Aquatic Sciences	Aquat Sci	1015-1621	1420-9055	springer-basic-author-date	author-date	science	en-US
Selecta Mathematica	Sel. Math. New Ser.	1022-1824	1420-9020	springer-mathphys-brackets	numeric	science	en-US
Nonlinear Differential Equations and Applications NoDEA	Nonlinear Differ. Equ. Appl.	1021-9722	1420-9004	springer-mathphys-brackets	numeric	science	en-US
Milan Journal of Mathematics	Milan J. Math.	1424-9286	1424-9294	springer-mathphys-brackets	numeric	science	en-US
Zeitschrift für angewandte Mathematik und Physik	Z. Angew. Math. Phys.	0044-2275	1420-9039	springer-mathphys-brackets	numeric	science	en-US
Circuits, Systems, and Signal Processing	Circuits Syst Signal Process	0278-081X	1531-5878	springer-physics-brackets	numeric	physics	en-US
Alpine Botany	Alp Botany	1664-2201	1664-221X	springer-basic-author-date	author-date	science	en-US
