Title	Abbreviation	ISSN	EISSN	Bibliography	Citation
Acta Analytica	Acta Anal	0353-5150	1874-6349	APA	NameYear
Administration and Policy in Mental Health and Mental Health Services Research	Adm Policy Ment Health	0894-587X	1573-3289	APA	NameYear
Advances in Health Sciences Education	Adv in Health Sci Educ	1382-4996	1573-1677	APA	NameYear
Aerobiologia	Aerobiologia	0393-5965	1573-3025	APA	NameYear
African Archaeological Review	Afr Archaeol Rev	0263-0338	1572-9842	APA	NameYear
Ageing International	Ageing Int	0163-5158	1936-606X	APA	NameYear
American Journal of Community Psychology	Am J Community Psychol	0091-0562	1573-2770	APA	NameYear
American Journal of Criminal Justice	Am J Crim Just	1066-2316	1936-1351	APA	NameYear
American Journal of Dance Therapy	Am J Dance Ther	0146-3721	1573-3262	APA	NameYear
AMS Review	AMS Rev	1869-814X	1869-8182	APA	NameYear
Annals of Dyslexia	Ann. of Dyslexia	0736-9387	1934-7243	APA	NameYear
Annals of Operations Research	Ann Oper Res	0254-5330	1572-9338	APA	NameYear
Annals of the Institute of Statistical Mathematics	Ann Inst Stat Math	0020-3157	1572-9052	APA	NameYear
Applied Psychophysiology and Biofeedback	Appl Psychophysiol Biofeedback	1090-0586	1573-3270	APA	NameYear
Applied Research in Quality of Life	Applied Research Quality Life	1871-2584	1871-2576	APA	NameYear
Applied Spatial Analysis and Policy	Appl. Spatial Analysis	1874-463X	1874-4621	APA	NameYear
Archives of Sexual Behavior	Arch Sex Behav	0004-0002	1573-2800	APA	NameYear
Asia Pacific Education Review	Asia Pacific Educ. Rev.	1598-1037	1876-407X	APA	NameYear
Asia-Pacific Financial Markets	Asia-Pac Financ Markets	1387-2834	1573-6946	APA	NameYear
Asian Journal of Business Ethics	Asian J Bus Ethics	2210-6723	2210-6731	APA	NameYear
Asian Journal of Criminology	Asian Criminology	1871-0131	1871-014X	APA	NameYear
Atlantic Economic Journal	Atl Econ J	0197-4254	1573-9678	APA	NameYear
Autonomous Robots	Auton Robot	0929-5593	1573-7527	APA	NameYear
Berliner Journal für Soziologie	Berlin J Soziol	0863-1808	1862-2593	APA	NameYear
Biosemiotics	Biosemiotics	1875-1342	1875-1350	APA	NameYear
Brain Imaging and Behavior	Brain Imaging and Behavior	1931-7557	1931-7565	APA	NameYear
Bulletin of Mathematical Biology	Bull Math Biol	0092-8240	1522-9602	APA	NameYear
Child & Youth Care Forum	Child Youth Care Forum	1053-1890	1573-3319	APA	NameYear
Child and Adolescent Social Work Journal	Child Adolesc Soc Work J	0738-0151	1573-2797	APA	NameYear
Child Indicators Research	Child Ind Res	1874-897X	1874-8988	APA	NameYear
Clinical Child and Family Psychology Review	Clin Child Fam Psychol Rev	1096-4037	1573-2827	APA	NameYear
Clinical Social Work Journal	Clin Soc Work J	0091-1674	1573-3343	APA	NameYear
Cognitive Therapy and Research	Cogn Ther Res	0147-5916	1573-2819	APA	NameYear
Community Mental Health Journal	Community Ment Health J	0010-3853	1573-2789	APA	NameYear
Computational Economics	Comput Econ	0927-7099	1572-9974	APA	NameYear
Constitutional Political Economy	Const Polit Econ	1043-4062	1572-9966	APA	NameYear
Contemporary Family Therapy	Contemp Fam Ther	0892-2764	1573-3335	APA	NameYear
Contemporary Islam	Cont Islam	1872-0218	1872-0226	APA	NameYear
Criminal Law and Philosophy	Criminal Law, Philosophy	1871-9791	1871-9805	APA	NameYear
Critical Criminology	Crit Crim	1205-8629	1572-9877	APA	NameYear
Culture and Brain	Cult. Brain	2193-8652	2193-8660	APA	NameYear
Current Psychology	Curr Psychol	1046-1310	1936-4733	APA	NameYear
De Economist	De Economist	0013-063X	1572-9982	APA	NameYear
Demography	Demography	0070-3370	1533-7790	APA	NameYear
Early Childhood Education Journal	Early Childhood Educ J	1082-3301	1573-1707	APA	NameYear
Education and Information Technologies	Educ Inf Technol	1360-2357	1573-7608	APA	NameYear
