Title	ISSN	EISSN	category-field	parent	documentation
Anthropology & Medicine	1364-8470	1469-2910	humanities	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CANM20&page=instructions
Asia Pacific Journal of social_science	0218-8791	1742-6855	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=CAPE20&page=instructions
Asian Philosophy	0955-2367	1469-2961	humanities	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=CASP20&page=instructions
British Journal of Guidance & Counselling	0306-9885	1469-3534	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=CBJG20&page=instructions
British Journal of Religious social_science	0141-6200	1740-7931	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CBRE20&page=instructions
British Journal of Sociology of social_science	0142-5692	1465-3346	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CBSE20&page=instructions
Biocontrol Science and Technology	0958-3157	1360-0478	biology	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=CBST20&page=instructions
Central Asian Survey	0263-4937	1465-3354	political_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CCAS20&page=instructions
Comparative social_science	0305-0068	1360-0486	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CCED20&page=instructions
Changing English	1358-684X	1469-3585	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CCEN20&page=instructions
Children's Geographies	1473-3285	1473-3277	biology	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CCHG20&page=instructions
City	1360-4813	1470-3629	political_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CCIT20&page=instructions
Cambridge Journal of social_science	0305-764X	1469-3577	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=CCJE20&page=instructions
Compare: A Journal of Comparative and International social_science	0305-7925	1469-3623	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CCOM20&page=instructions
Continuum	1030-4312	1469-3666	humanities	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CCON20&page=instructions
Connection Science	0954-0091	1360-0494	engineering	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=CCOS20&page=instructions
Critical Public Health	0958-1596	1469-3682	medicine	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CCPH20&page=instructions
Counselling Psychology Quarterly	0951-5070	1469-3674	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=CCPQ20&page=instructions
Contemporary South Asia	0958-4935	1469-364X	political_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CCSA20&page=instructions
Citizenship Studies	1362-1025	1469-3593	political_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CCST20&page=instructions
Cultural Trends	0954-8963	1469-3690	humanities	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=CCUT20&page=instructions
Community, Work & Family	1366-8803	1469-3615	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=CCWF20&page=instructions
Debatte: Journal of Contemporary Central and Eastern Europe	0965-156X	1469-3712	political_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CDEB20&page=instructions
Development in Practice	0961-4524	1364-9213	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CDIP20&page=instructions
Discourse: Studies in the Cultural Politics of social_science	0159-6306	1469-3739	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=CDIS20&page=instructions
Disability & Society	0968-7599	1360-0508	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CDSO20&page=instructions
Dynamical Systems	1468-9367	1468-9375	science	taylor-and-francis-national-library-of-medicine	http://www.tandfonline.com/action/authorSubmission?journalCode=CDSS20&page=instructions
Ethics and social_science	1744-9642	1744-9650	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CEAE20&page=instructions
social_science Economics	0964-5292	1469-5782	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CEDE20&page=instructions
social_scienceal Psychology	0144-3410	1469-5820	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=CEDP20&page=instructions
social_scienceal Review	0013-1911	1465-3397	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CEDR20&page=instructions
social_scienceal Studies	0305-5698	1465-3400	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CEDS20&page=instructions
European Journal of Engineering social_science	0304-3797	1469-5898	engineering	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CEEE20&page=instructions
Environmental social_science Research	1350-4622	1469-5871	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CEER20&page=instructions
Intercultural social_science	1467-5986	1469-8439	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CEJI20&page=instructions
social_scienceal Psychology in Practice	0266-7363	1469-5839	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=CEPP20&page=instructions
European Review of History: Revue europeenne d'histoire	1350-7486	1469-8293	humanities	chicago-note-bibliography	http://www.tandfonline.com/action/authorSubmission?journalCode=CERH20&page=instructions
European Journal of Social Work	1369-1457	1468-2664	medicine	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=CESW20&page=instructions
European Journal of Teacher social_science	0261-9768	1469-5928	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CETE20&page=instructions
Ethnicity & Health	1355-7858	1465-3419	medicine	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CETH20&page=instructions
Early Years	0957-5146	1472-4421	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CEYE20&page=instructions
Gender and social_science	0954-0253	1360-0516	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CGEE20&page=instructions
Gender, Place & Culture	0966-369X	1360-0524	biology	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CGPC20&page=instructions
Globalisation, Societies and social_science	1476-7724	1476-7732	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CGSE20&page=instructions
High Ability Studies	1359-8139	1469-834X	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=CHAS20&page=instructions
Islam and Christian–Muslim Relations	0959-6410	1469-9311	political_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CICM20&page=instructions
Information & Communications Technology Law	1360-0834	1469-8404	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=CICT20&page=instructions
