Title	TitleShort	ISSN
Australasian Dispute Resolution Journal	ADRJ	1441-7847
Australian Business Law Review	ABLR	0310-1053
Australian GST Journal	AGSTJ	1445-4068
Australian Intellectual Property Journal	AIPJ	1038-1635
Australian Journal of Administrative Law	AJ Admin L	1320-7105
Australian Journal of Competition and Consumer Law	AJCCL	1838-9260
Australian Law Journal	ALJ	0004-9611
Australian Tax Review	AT Rev	0311-094X
Building and Construction Law Journal	BCL	0815-6050
Company and Securities Law Journal	C&amp;SLJ	0729-2775
Criminal Law Journal	Crim LJ	1321-6562
Environmental and Planning Law Journal	EPLJ	0813-300X
Family Law Review	Fam L Rev	1837-8757
Insolvency Law Journal	Insolv LJ	1039-3293
Journal of Banking and Finance Law and Practice	JBFLP	1034-3040
Journal of Civil Litigation and Practice	JCivLP	1839-4574
Journal of Judicial Administration	JJA	1036-7918
Journal of Law and Medicine	JLM	1320-159X
Local Government Law Journal	LGLJ	1324-1265
Northern Territory Law Journal and Reports	NTLJ	1038-9237
Online Currents	OLC	0816-956X
Property Law Review	Prop L Rev	1838-3858
Public Law Review	PLR	1034-3024
Queensland Lawyer	Qld Lawyer	0312-1658
Tort Law Review	Tort L Rev	1039-3285
Workplace Review 	WR	1838-0999
