Title	Documentation	ISSN	EISSN
Athletic Training & Sports Health Care	http://www.healio.com/~/media/Files/Journals/General%20PDFs/ATSHC/ATSHC_InfoforAuthors.ashx	1942-5864	1942-5872
Journal of Gerontological Nursing	http://www.healio.com/journals/jgn/%7E/media/8A197680ADBD49FB8FC45AD04B7FE063.ashx	0098-9134	1938-243X
Journal of Nursing Education	http://www.healio.com/~/media/Files/Journals/General%20PDFs/JNE/JNEguidelines.ashx	0148-4834	1938-2421
Journal of Pediatric Ophthalmology & Strabismus	http://www.healio.com/~/media/Files/Journals/General%20PDFs/JPOS/JPOSinfoauth.ashx	0191-3913	1938-2405
Journal of Psychosocial Nursing and Mental Health Services	http://www.healio.com/~/media/Files/Journals/General%20PDFs/JPN/JPNguidelines.ashx	0279-3695	1938-2413
Journal of Refractive Surgery	http://www.healio.com/journals/jrs/submit-an-article	1081-597X	1938-2391
Occupation, Participation and Health	http://www.healio.com/~/media/Files/Journals/General%20PDFs/OTJR/OTJR_Guidelines.ashx	1539-4492	1938-2383
Ophthalmic Surgery, Lasers & Imaging Retina	http://www.healio.com/~/media/Journals/OSLI/cnav/OSLI%20InfoForAuthors.pdf	2325-8160	2325-8179
Orthopedics	http://www.healio.com/~/media/Files/Journals/General%20PDFs/ORTHO/OBJinfoauth.pdf	0147-7447	1938-2367
Pediatric Annals	http://www.healio.com/journals/pedann/submit-an-article	0090-4481	1938-2359
Psychiatric Annals	0	0048-5713	1938-2456
Research in Gerontological Nursing	http://www.healio.com/~/media/Files/Journals/General%20PDFs/RGN/RGNInfoauth.ashx	1940-4921	1938-2464
The Journal of Continuing Education in Nursing	http://www.healio.com/journals/jcen/%7E/media/768885EA82B74F81839CB33DE5A93276.ashx	0022-0124	1938-2472
Workplace Health & Safety	http://www.healio.com/~/media/Files/Journals/General%20PDFs/AAOHN/AAOHNinfoauth.ashx	2165-0799	2165-0969
