Title	ISSN	EISSN	Documentation	Format	Parent
Acta Cytologica	0001-5547	1938-2650	http://www.karger.com?issn=0001-5547	numeric	karger-journals
Acta Haematologica	0001-5792	1421-9662	http://www.karger.com?issn=1421-9662	numeric	karger-journals
American Journal of Nephrology	0250-8095	1421-9670	http://www.karger.com?issn=1421-9670	numeric	karger-journals
Annals of Nutrition & Metabolism	0250-6807	1421-9697	http://www.karger.com?issn=1421-9697	numeric	karger-journals
Audiology and Neurotology	1420-3030	1421-9700	http://www.karger.com?issn=1421-9700	author-date	karger-journals-author-date
Audiology and Neurotology Extra	x	1664-5537	http://www.karger.com/Journal/Home/255124	author-date	karger-journals-author-date
Blood Purification	0253-5068	1421-9735	http://www.karger.com?issn=1421-9735	numeric	karger-journals
Brain, Behavior and Evolution	0006-8977	1421-9743	http://www.karger.com?issn=1421-9743	author-date	karger-journals-author-date
Breast Care	1661-3791	1661-3805	www.karger.com/Journal/Home/231161	numeric	karger-journals
Cardiology	0008-6312	1421-9751	http://www.karger.com?issn=1421-9751	numeric	karger-journals
Cardiorenal Medicine	1664-3828	1664-5502	http://www.karger.com/Journal/Home/254695	numeric	karger-journals
Caries Research	0008-6568	1421-976X	http://www.karger.com?issn=1421-976X	author-date	karger-journals-author-date
Case Reports in Dermatology	x	1662-6567	http://www.karger.com/Journal/Home/239060	numeric	karger-journals
Case Reports in Gastroenterology	x	1662-0631	http://www.karger.com/Journal/Home/232833	numeric	karger-journals
Case Reports in Nephrology and Urology	x	1664-5510	http://www.karger.com/Journal/Home/254804	numeric	karger-journals
Case Reports in Neurology	x	1662-680X	http://www.karger.com/Journal/Home/238704	numeric	karger-journals
Case Reports in Oncology	x	1662-6575	http://www.karger.com/Journal/Home/239061	numeric	karger-journals
Case Reports in Ophthalmology	x	1663-2699	http://www.karger.com/Journal/Home/251887	numeric	karger-journals
Cells Tissues Organs	1422-6405	1422-6421	http://www.karger.com?issn=1422-6421	author-date	karger-journals-author-date
Cellular Physiology and Biochemistry	1015-8987	1421-9778	http://www.karger.com?issn=1421-9778	numeric	karger-journals
Cerebrovascular Diseases	1015-9770	1421-9786	http://www.karger.com?issn=1421-9786	numeric	karger-journals
Cerebrovascular Diseases Extra	x	1664-5456	http://www.karger.com/Journal/Home/254735	numeric	karger-journals
Chemotherapy	0009-3157	1421-9794	http://www.karger.com?issn=1421-9794	numeric	karger-journals
Current Urology	1661-7649	1661-7657	http://www.karger.com/Journal/Home/231997	numeric	karger-journals
Dementia and Geriatric Cognitive Disorders	1420-8008	1421-9824	http://www.karger.com?issn=1421-9824	numeric	karger-journals
Dementia and Geriatric Cognitive Disorders Extra	x	1664-5464	http://www.karger.com/Journal/Home/254733	numeric	karger-journals
Dermatology	1018-8665	1421-9832	http://www.karger.com?issn=1421-9832	numeric	karger-journals
Dermatopathology	x	2296-3529	http://www.karger.com/Journal/Home/259875	numeric	karger-journals
Developmental Neuroscience	0378-5866	1421-9859	http://www.karger.com?issn=1421-9859	numeric	karger-journals
Digestion	0012-2823	1421-9867	http://www.karger.com?issn=1421-9867	numeric	karger-journals
Digestive Diseases	0257-2753	1421-9875	http://www.karger.com?issn=1421-9875	numeric	karger-journals
Digestive Surgery	0253-4886	1421-9883	http://www.karger.com?issn=1421-9883	numeric	karger-journals
European Addiction Research	1022-6877	1421-9891	http://www.karger.com?issn=1421-9891	numeric	karger-journals
European Neurology	0014-3022	1421-9913	http://www.karger.com?issn=1421-9913	numeric	karger-journals
European Surgical Research	0014-312X	1421-9921	http://www.karger.com?issn=1421-9921	numeric	karger-journals
European Thyroid Journal	2235-0640	2235-0802	http://www.karger.com/Journal/Home/255331	numeric	karger-journals
