Title	ISSN	EISSN	Field	Parent	Format	Documentation
Advances in Building Energy Research	1751-2549	1756-2201	engineering	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TAER20&page=instructions
Advances in Eating Disorders: Theory, Research and Practice	2166-2630	2166-2649	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=REAT20&page=instructions
Advances in School Mental Health Promotion	1754-730X	2049-8535	medicine	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RASM20&page=instructions
African Geographical Review	1937-6812	2163-2642	biology	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RAFG20&page=instructions
African Identities	1472-5843	1472-5851	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CAFI20&page=instructions
African Journal of Research in Mathematics, Science and Technology Education	1028-8457	1811-7295	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RMSE20&page=instructions
Aging & Mental Health	1360-7863	1364-6915	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CAMH20&page=instructions
Aging, Neuropsychology, and Cognition	1382-5585	1744-4128	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=NANC20&page=instructions
Anatolia	1303-2917	2156-6909	political_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RANA20&page=instructions
Anxiety, Stress, & Coping	1061-5806	1477-2205	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=GASC20&page=instructions
Aphasiology	0268-7038	1464-5041	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=PAPH20&page=instructions
Applied Mathematical Finance	1350-486X	1466-4313	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RAMF20&page=instructions
Arboricultural Journal: The International Journal of Urban Forestry	0307-1375	2168-1074	biology	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TARB20&page=instructions
Architectural Engineering and Design Management	1745-2007	1752-7589	engineering	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TAEM20&page=instructions
Arts & Health	1753-3015	1753-3023	medicine	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RAHE20&page=instructions
Asia Pacific Journal of Counselling and Psychotherapy	2150-7686	2150-7708	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RAPC20&page=instructions
Asia Pacific Journal of Education	0218-8791	1742-6855	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CAPE20&page=instructions
Asia Pacific Journal of Public Administration	2327-6665	2327-6673	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RAPA20&page=instructions
Asia Pacific Journal of Social Work and Development	0218-5385	2165-0993	medicine	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RSWD20&page=instructions
Asia Pacific Journal of Tourism Research	1094-1665	1741-6507	political_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RAPT20&page=instructions
Asia-Pacific Journal of Health, Sport and Physical Education	1837-7122	1837-7130	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RASP20&page=instructions
Asia-Pacific Journal of Teacher Education	1359-866X	1469-2945	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CAPJ20&page=instructions
Asian Englishes	1348-8678	2331-2548	humanities	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RENG20&page=instructions
Asian Journal of Communication	0129-2986	1742-0911	humanities	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RAJC20&page=instructions
Asian Philosophy	0955-2367	1469-2961	humanities	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CASP20&page=instructions
Asian Population Studies	1744-1730	1744-1749	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RAPS20&page=instructions
Assessment in Education: Principles, Policy & Practice	0969-594X	1465-329X	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CAIE20&page=instructions
Atmosphere-Ocean	0705-5900	1480-9214	biology	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TATO20&page=instructions
Attachment & Human Development	1461-6734	1469-2988	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RAHD20&page=instructions
Australian Journal of Learning Difficulties	1940-4158	1940-4166	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RALD20&page=instructions
Australian Social Work	0312-407X	1447-0748	medicine	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RASW20&page=instructions
Baltic Journal of Economics	1406-099X	2334-4385	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RBEC20&page=instructions
Behavioral Sciences of Terrorism and Political Aggression	1943-4472	1943-4480	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RIRT20&page=instructions
Biocontrol Science and Technology	0958-3157	1360-0478	biology	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CBST20&page=instructions
Biotechnology and Genetic Engineering Reviews	0264-8725	2046-5556	biology	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TBGR20&page=instructions
Body, Movement and Dance in Psychotherapy	1743-2979	1743-2987	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TBMD20&page=instructions
British Journal of Guidance & Counselling	0306-9885	1469-3534	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CBJG20&page=instructions
Building Research & Information	0961-3218	1466-4321	engineering	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RBRI20&page=instructions
Cambridge Journal of Education	0305-764X	1469-3577	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CCJE20&page=instructions
Child Care in Practice	1357-5279	1476-489X	medicine	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CCCP20&page=instructions
